Sept. 28, 2023   15:16:40
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\100_100_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 100
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 6.353e-6, 1.179e-6, -5.174e-6, 7.653e-6, 1.379e-6, -6.274e-6
-0.008, 8.727e-6, 3.987e-6, -4.741e-6, 1.070e-5, 4.929e-6, -5.770e-6
-0.012, 8.527e-6, 4.002e-6, -4.525e-6, 1.048e-5, 4.953e-6, -5.523e-6
-0.016, 8.302e-6, 3.949e-6, -4.354e-6, 1.021e-5, 4.883e-6, -5.327e-6
-0.020, 8.069e-6, 3.876e-6, -4.194e-6, 9.952e-6, 4.802e-6, -5.150e-6
-0.024, 7.860e-6, 3.800e-6, -4.061e-6, 9.702e-6, 4.713e-6, -4.989e-6
-0.028, 7.665e-6, 3.743e-6, -3.923e-6, 9.479e-6, 4.640e-6, -4.839e-6
-0.032, 7.464e-6, 3.667e-6, -3.797e-6, 9.248e-6, 4.558e-6, -4.691e-6
-0.036, 7.293e-6, 3.605e-6, -3.688e-6, 9.041e-6, 4.477e-6, -4.564e-6
-0.040, 7.113e-6, 3.545e-6, -3.568e-6, 8.843e-6, 4.411e-6, -4.432e-6
-0.044, 6.964e-6, 3.484e-6, -3.480e-6, 8.663e-6, 4.339e-6, -4.324e-6
-0.048, 6.815e-6, 3.439e-6, -3.376e-6, 8.491e-6, 4.282e-6, -4.209e-6
-0.052, 6.664e-6, 3.379e-6, -3.285e-6, 8.319e-6, 4.217e-6, -4.101e-6
-0.056, 6.543e-6, 3.335e-6, -3.208e-6, 8.167e-6, 4.157e-6, -4.011e-6
-0.060, 6.410e-6, 3.290e-6, -3.120e-6, 8.025e-6, 4.109e-6, -3.916e-6
-0.064, 6.305e-6, 3.245e-6, -3.060e-6, 7.889e-6, 4.054e-6, -3.834e-6
-0.068, 6.208e-6, 3.220e-6, -2.989e-6, 7.777e-6, 4.018e-6, -3.760e-6
-0.072, 6.095e-6, 3.176e-6, -2.918e-6, 7.646e-6, 3.969e-6, -3.676e-6
-0.076, 6.010e-6, 3.145e-6, -2.865e-6, 7.538e-6, 3.927e-6, -3.611e-6
-0.080, 5.911e-6, 3.113e-6, -2.798e-6, 7.433e-6, 3.893e-6, -3.539e-6
-0.084, 5.845e-6, 3.084e-6, -2.761e-6, 7.341e-6, 3.855e-6, -3.486e-6
-0.088, 5.775e-6, 3.068e-6, -2.706e-6, 7.256e-6, 3.829e-6, -3.427e-6
-0.092, 5.698e-6, 3.043e-6, -2.656e-6, 7.167e-6, 3.800e-6, -3.367e-6
-0.096, 5.643e-6, 3.022e-6, -2.621e-6, 7.088e-6, 3.767e-6, -3.321e-6
-0.100, 5.579e-6, 3.006e-6, -2.573e-6, 7.022e-6, 3.751e-6, -3.271e-6
-0.104, 5.538e-6, 2.987e-6, -2.551e-6, 6.956e-6, 3.722e-6, -3.234e-6
-0.108, 5.490e-6, 2.981e-6, -2.509e-6, 6.902e-6, 3.710e-6, -3.192e-6
-0.112, 5.441e-6, 2.966e-6, -2.475e-6, 6.838e-6, 3.691e-6, -3.147e-6
-0.116, 5.412e-6, 2.954e-6, -2.458e-6, 6.788e-6, 3.668e-6, -3.120e-6
-0.120, 5.367e-6, 2.946e-6, -2.420e-6, 6.738e-6, 3.659e-6, -3.079e-6
-0.124, 5.349e-6, 2.939e-6, -2.410e-6, 6.699e-6, 3.642e-6, -3.057e-6
-0.128, 5.325e-6, 2.944e-6, -2.381e-6, 6.666e-6, 3.640e-6, -3.027e-6
-0.132, 5.295e-6, 2.935e-6, -2.360e-6, 6.625e-6, 3.628e-6, -2.997e-6
-0.136, 5.280e-6, 2.934e-6, -2.346e-6, 6.592e-6, 3.616e-6, -2.976e-6
-0.140, 5.258e-6, 2.937e-6, -2.321e-6, 6.567e-6, 3.617e-6, -2.950e-6
-0.144, 5.259e-6, 2.938e-6, -2.321e-6, 6.543e-6, 3.608e-6, -2.935e-6
-0.148, 5.253e-6, 2.951e-6, -2.302e-6, 6.528e-6, 3.612e-6, -2.916e-6
-0.152, 5.239e-6, 2.951e-6, -2.287e-6, 6.501e-6, 3.610e-6, -2.891e-6
-0.156, 5.246e-6, 2.960e-6, -2.285e-6, 6.490e-6, 3.606e-6, -2.884e-6
-0.160, 5.236e-6, 2.970e-6, -2.267e-6, 6.475e-6, 3.613e-6, -2.862e-6
-0.164, 5.253e-6, 2.979e-6, -2.275e-6, 6.471e-6, 3.613e-6, -2.859e-6
-0.168, 5.261e-6, 2.998e-6, -2.262e-6, 6.469e-6, 3.624e-6, -2.846e-6
-0.172, 5.265e-6, 3.006e-6, -2.258e-6, 6.459e-6, 3.627e-6, -2.832e-6
-0.176, 5.284e-6, 3.024e-6, -2.260e-6, 6.455e-6, 3.630e-6, -2.825e-6
-0.180, 5.293e-6, 3.039e-6, -2.254e-6, 6.458e-6, 3.641e-6, -2.817e-6
-0.184, 5.321e-6, 3.055e-6, -2.266e-6, 6.459e-6, 3.644e-6, -2.816e-6
-0.188, 5.344e-6, 3.084e-6, -2.260e-6, 6.472e-6, 3.663e-6, -2.809e-6
-0.192, 5.357e-6, 3.097e-6, -2.260e-6, 6.470e-6, 3.671e-6, -2.799e-6
-0.196, 5.391e-6, 3.121e-6, -2.270e-6, 6.480e-6, 3.679e-6, -2.802e-6
-0.200, 5.407e-6, 3.141e-6, -2.266e-6, 6.488e-6, 3.694e-6, -2.793e-6
-0.204, 5.448e-6, 3.165e-6, -2.283e-6, 6.502e-6, 3.705e-6, -2.797e-6
-0.208, 5.481e-6, 3.197e-6, -2.284e-6, 6.519e-6, 3.723e-6, -2.796e-6
-0.212, 5.504e-6, 3.216e-6, -2.288e-6, 6.525e-6, 3.736e-6, -2.789e-6
-0.216, 5.543e-6, 3.243e-6, -2.300e-6, 6.538e-6, 3.746e-6, -2.792e-6
-0.220, 5.568e-6, 3.268e-6, -2.301e-6, 6.554e-6, 3.764e-6, -2.790e-6
-0.224, 5.612e-6, 3.292e-6, -2.320e-6, 6.572e-6, 3.776e-6, -2.796e-6
-0.228, 5.651e-6, 3.327e-6, -2.324e-6, 6.594e-6, 3.798e-6, -2.796e-6
-0.232, 5.674e-6, 3.347e-6, -2.326e-6, 6.599e-6, 3.812e-6, -2.787e-6
-0.236, 5.719e-6, 3.376e-6, -2.342e-6, 6.618e-6, 3.824e-6, -2.794e-6
-0.240, 5.743e-6, 3.402e-6, -2.340e-6, 6.635e-6, 3.847e-6, -2.788e-6
-0.244, 5.788e-6, 3.427e-6, -2.361e-6, 6.653e-6, 3.857e-6, -2.796e-6
-0.248, 5.824e-6, 3.462e-6, -2.362e-6, 6.677e-6, 3.882e-6, -2.795e-6
-0.252, 5.848e-6, 3.481e-6, -2.366e-6, 6.686e-6, 3.897e-6, -2.789e-6
-0.256, 5.882e-6, 3.507e-6, -2.376e-6, 6.701e-6, 3.910e-6, -2.790e-6
-0.260, 5.904e-6, 3.531e-6, -2.372e-6, 6.717e-6, 3.932e-6, -2.784e-6
-0.264, 5.940e-6, 3.554e-6, -2.386e-6, 6.729e-6, 3.944e-6, -2.785e-6
-0.268, 5.971e-6, 3.586e-6, -2.385e-6, 6.757e-6, 3.970e-6, -2.787e-6
-0.272, 5.985e-6, 3.605e-6, -2.380e-6, 6.761e-6, 3.987e-6, -2.774e-6
-0.276, 6.011e-6, 3.628e-6, -2.383e-6, 6.775e-6, 4.000e-6, -2.775e-6
-0.280, 6.019e-6, 3.650e-6, -2.369e-6, 6.789e-6, 4.025e-6, -2.764e-6
-0.284, 6.044e-6, 3.671e-6, -2.373e-6, 6.800e-6, 4.039e-6, -2.761e-6
-0.288, 6.064e-6, 3.703e-6, -2.361e-6, 6.825e-6, 4.069e-6, -2.756e-6
-0.292, 6.075e-6, 3.726e-6, -2.349e-6, 6.836e-6, 4.093e-6, -2.743e-6
-0.296, 6.093e-6, 3.750e-6, -2.343e-6, 6.845e-6, 4.108e-6, -2.737e-6
-0.300, 6.092e-6, 3.774e-6, -2.318e-6, 6.857e-6, 4.136e-6, -2.721e-6
-0.304, 6.109e-6, 3.796e-6, -2.313e-6, 6.870e-6, 4.154e-6, -2.716e-6
-0.308, 6.126e-6, 3.834e-6, -2.293e-6, 6.898e-6, 4.190e-6, -2.708e-6
-0.312, 6.125e-6, 3.855e-6, -2.270e-6, 6.904e-6, 4.215e-6, -2.689e-6
-0.316, 6.143e-6, 3.884e-6, -2.259e-6, 6.921e-6, 4.238e-6, -2.683e-6
-0.320, 6.141e-6, 3.916e-6, -2.225e-6, 6.935e-6, 4.273e-6, -2.663e-6
-0.324, 6.164e-6, 3.948e-6, -2.217e-6, 6.957e-6, 4.300e-6, -2.657e-6
-0.328, 6.174e-6, 3.988e-6, -2.186e-6, 6.978e-6, 4.338e-6, -2.640e-6
