Sept. 28, 2023   14:59:34
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\100_10_2.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 100
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 7.359e-6, 1.409e-6, -5.950e-6, 9.030e-6, 1.668e-6, -7.362e-6
-0.008, 1.015e-5, 4.690e-6, -5.463e-6, 1.275e-5, 5.968e-6, -6.781e-6
-0.012, 9.968e-6, 4.729e-6, -5.239e-6, 1.253e-5, 6.005e-6, -6.529e-6
-0.016, 9.717e-6, 4.673e-6, -5.044e-6, 1.226e-5, 5.946e-6, -6.314e-6
-0.020, 9.495e-6, 4.599e-6, -4.896e-6, 1.199e-5, 5.854e-6, -6.140e-6
-0.024, 9.271e-6, 4.537e-6, -4.735e-6, 1.174e-5, 5.778e-6, -5.966e-6
-0.028, 9.052e-6, 4.460e-6, -4.592e-6, 1.149e-5, 5.693e-6, -5.801e-6
-0.032, 8.856e-6, 4.390e-6, -4.466e-6, 1.126e-5, 5.605e-6, -5.658e-6
-0.036, 8.657e-6, 4.323e-6, -4.335e-6, 1.105e-5, 5.533e-6, -5.517e-6
-0.040, 8.492e-6, 4.259e-6, -4.232e-6, 1.085e-5, 5.455e-6, -5.391e-6
-0.044, 8.325e-6, 4.207e-6, -4.118e-6, 1.066e-5, 5.390e-6, -5.268e-6
-0.048, 8.151e-6, 4.142e-6, -4.009e-6, 1.046e-5, 5.320e-6, -5.142e-6
-0.052, 8.012e-6, 4.092e-6, -3.920e-6, 1.029e-5, 5.253e-6, -5.040e-6
-0.056, 7.863e-6, 4.042e-6, -3.821e-6, 1.013e-5, 5.200e-6, -4.931e-6
-0.060, 7.745e-6, 3.994e-6, -3.752e-6, 9.980e-6, 5.137e-6, -4.842e-6
-0.064, 7.623e-6, 3.957e-6, -3.666e-6, 9.845e-6, 5.094e-6, -4.751e-6
-0.068, 7.505e-6, 3.913e-6, -3.592e-6, 9.710e-6, 5.045e-6, -4.665e-6
-0.072, 7.405e-6, 3.876e-6, -3.529e-6, 9.582e-6, 4.994e-6, -4.588e-6
-0.076, 7.297e-6, 3.843e-6, -3.454e-6, 9.465e-6, 4.957e-6, -4.508e-6
-0.080, 7.210e-6, 3.805e-6, -3.405e-6, 9.354e-6, 4.911e-6, -4.443e-6
-0.084, 7.133e-6, 3.788e-6, -3.345e-6, 9.263e-6, 4.883e-6, -4.380e-6
-0.088, 7.036e-6, 3.753e-6, -3.283e-6, 9.152e-6, 4.848e-6, -4.304e-6
-0.092, 6.971e-6, 3.729e-6, -3.242e-6, 9.063e-6, 4.808e-6, -4.255e-6
-0.096, 6.893e-6, 3.707e-6, -3.186e-6, 8.978e-6, 4.785e-6, -4.193e-6
-0.100, 6.844e-6, 3.686e-6, -3.158e-6, 8.906e-6, 4.753e-6, -4.153e-6
-0.104, 6.786e-6, 3.677e-6, -3.109e-6, 8.837e-6, 4.735e-6, -4.102e-6
-0.108, 6.723e-6, 3.653e-6, -3.070e-6, 8.760e-6, 4.709e-6, -4.051e-6
-0.112, 6.676e-6, 3.637e-6, -3.039e-6, 8.691e-6, 4.681e-6, -4.010e-6
-0.116, 6.626e-6, 3.629e-6, -2.997e-6, 8.636e-6, 4.671e-6, -3.965e-6
-0.120, 6.592e-6, 3.615e-6, -2.977e-6, 8.577e-6, 4.648e-6, -3.929e-6
-0.124, 6.564e-6, 3.617e-6, -2.948e-6, 8.538e-6, 4.638e-6, -3.900e-6
-0.128, 6.519e-6, 3.603e-6, -2.916e-6, 8.480e-6, 4.623e-6, -3.857e-6
-0.132, 6.497e-6, 3.597e-6, -2.900e-6, 8.436e-6, 4.603e-6, -3.834e-6
-0.136, 6.467e-6, 3.598e-6, -2.869e-6, 8.401e-6, 4.602e-6, -3.799e-6
-0.140, 6.451e-6, 3.591e-6, -2.860e-6, 8.362e-6, 4.586e-6, -3.776e-6
-0.144, 6.437e-6, 3.599e-6, -2.838e-6, 8.336e-6, 4.584e-6, -3.752e-6
-0.148, 6.412e-6, 3.596e-6, -2.816e-6, 8.296e-6, 4.576e-6, -3.720e-6
-0.152, 6.405e-6, 3.597e-6, -2.808e-6, 8.267e-6, 4.564e-6, -3.703e-6
-0.156, 6.391e-6, 3.604e-6, -2.787e-6, 8.245e-6, 4.566e-6, -3.679e-6
-0.160, 6.392e-6, 3.607e-6, -2.785e-6, 8.221e-6, 4.558e-6, -3.663e-6
-0.164, 6.394e-6, 3.623e-6, -2.771e-6, 8.210e-6, 4.563e-6, -3.648e-6
-0.168, 6.380e-6, 3.624e-6, -2.756e-6, 8.184e-6, 4.561e-6, -3.623e-6
-0.172, 6.388e-6, 3.634e-6, -2.754e-6, 8.167e-6, 4.554e-6, -3.613e-6
