Sept. 28, 2023   14:59:27
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\100_10_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 100
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 6.675e-6, 1.257e-6, -5.419e-6, 8.253e-6, 1.501e-6, -6.752e-6
-0.008, 9.222e-6, 4.247e-6, -4.975e-6, 1.168e-5, 5.453e-6, -6.226e-6
-0.012, 9.022e-6, 4.268e-6, -4.753e-6, 1.146e-5, 5.485e-6, -5.979e-6
-0.016, 8.803e-6, 4.214e-6, -4.588e-6, 1.120e-5, 5.411e-6, -5.788e-6
-0.020, 8.580e-6, 4.154e-6, -4.427e-6, 1.095e-5, 5.341e-6, -5.611e-6
-0.024, 8.371e-6, 4.079e-6, -4.292e-6, 1.071e-5, 5.256e-6, -5.450e-6
-0.028, 8.172e-6, 4.017e-6, -4.155e-6, 1.048e-5, 5.178e-6, -5.299e-6
-0.032, 7.961e-6, 3.939e-6, -4.022e-6, 1.024e-5, 5.091e-6, -5.151e-6
-0.036, 7.799e-6, 3.882e-6, -3.916e-6, 1.004e-5, 5.018e-6, -5.022e-6
-0.040, 7.630e-6, 3.826e-6, -3.804e-6, 9.854e-6, 4.951e-6, -4.903e-6
-0.044, 7.465e-6, 3.763e-6, -3.703e-6, 9.660e-6, 4.881e-6, -4.779e-6
-0.048, 7.328e-6, 3.716e-6, -3.612e-6, 9.496e-6, 4.819e-6, -4.677e-6
-0.052, 7.165e-6, 3.656e-6, -3.509e-6, 9.318e-6, 4.754e-6, -4.564e-6
-0.056, 7.055e-6, 3.616e-6, -3.439e-6, 9.173e-6, 4.699e-6, -4.474e-6
-0.060, 6.936e-6, 3.578e-6, -3.358e-6, 9.044e-6, 4.655e-6, -4.389e-6
-0.064, 6.819e-6, 3.533e-6, -3.286e-6, 8.899e-6, 4.601e-6, -4.298e-6
-0.068, 6.721e-6, 3.502e-6, -3.220e-6, 8.781e-6, 4.558e-6, -4.223e-6
-0.072, 6.603e-6, 3.456e-6, -3.147e-6, 8.654e-6, 4.511e-6, -4.143e-6
-0.076, 6.524e-6, 3.430e-6, -3.094e-6, 8.546e-6, 4.471e-6, -4.075e-6
-0.080, 6.446e-6, 3.407e-6, -3.039e-6, 8.458e-6, 4.442e-6, -4.017e-6
-0.084, 6.361e-6, 3.376e-6, -2.985e-6, 8.352e-6, 4.405e-6, -3.947e-6
-0.088, 6.302e-6, 3.358e-6, -2.943e-6, 8.274e-6, 4.376e-6, -3.898e-6
-0.092, 6.213e-6, 3.328e-6, -2.886e-6, 8.178e-6, 4.344e-6, -3.835e-6
-0.096, 6.165e-6, 3.311e-6, -2.854e-6, 8.103e-6, 4.315e-6, -3.788e-6
-0.100, 6.115e-6, 3.301e-6, -2.815e-6, 8.046e-6, 4.299e-6, -3.747e-6
-0.104, 6.059e-6, 3.280e-6, -2.779e-6, 7.971e-6, 4.273e-6, -3.698e-6
-0.108, 6.022e-6, 3.273e-6, -2.749e-6, 7.917e-6, 4.256e-6, -3.661e-6
-0.112, 5.961e-6, 3.254e-6, -2.707e-6, 7.852e-6, 4.235e-6, -3.617e-6
-0.116, 5.939e-6, 3.252e-6, -2.687e-6, 7.804e-6, 4.221e-6, -3.583e-6
-0.120, 5.914e-6, 3.251e-6, -2.663e-6, 7.773e-6, 4.216e-6, -3.557e-6
-0.124, 5.881e-6, 3.243e-6, -2.637e-6, 7.723e-6, 4.202e-6, -3.520e-6
-0.128, 5.868e-6, 3.246e-6, -2.622e-6, 7.691e-6, 4.194e-6, -3.497e-6
-0.132, 5.825e-6, 3.235e-6, -2.590e-6, 7.645e-6, 4.183e-6, -3.462e-6
-0.136, 5.822e-6, 3.240e-6, -2.582e-6, 7.618e-6, 4.175e-6, -3.443e-6
-0.140, 5.814e-6, 3.248e-6, -2.566e-6, 7.605e-6, 4.179e-6, -3.426e-6
-0.144, 5.802e-6, 3.248e-6, -2.553e-6, 7.575e-6, 4.174e-6, -3.401e-6
-0.148, 5.803e-6, 3.261e-6, -2.542e-6, 7.561e-6, 4.175e-6, -3.386e-6
-0.152, 5.782e-6, 3.259e-6, -2.522e-6, 7.530e-6, 4.170e-6, -3.360e-6
-0.156, 5.798e-6, 3.275e-6, -2.523e-6, 7.524e-6, 4.174e-6, -3.350e-6
-0.160, 5.807e-6, 3.289e-6, -2.518e-6, 7.526e-6, 4.181e-6, -3.345e-6
-0.164, 5.807e-6, 3.299e-6, -2.508e-6, 7.508e-6, 4.185e-6, -3.323e-6
-0.168, 5.827e-6, 3.317e-6, -2.509e-6, 7.512e-6, 4.193e-6, -3.319e-6
-0.172, 5.822e-6, 3.326e-6, -2.496e-6, 7.497e-6, 4.196e-6, -3.301e-6
-0.176, 5.850e-6, 3.345e-6, -2.505e-6, 7.501e-6, 4.203e-6, -3.298e-6
-0.180, 5.872e-6, 3.370e-6, -2.502e-6, 7.512e-6, 4.219e-6, -3.294e-6
-0.184, 5.890e-6, 3.386e-6, -2.504e-6, 7.512e-6, 4.228e-6, -3.284e-6
-0.188, 5.922e-6, 3.415e-6, -2.508e-6, 7.525e-6, 4.242e-6, -3.283e-6
-0.192, 5.933e-6, 3.430e-6, -2.503e-6, 7.524e-6, 4.250e-6, -3.274e-6
-0.196, 5.972e-6, 3.458e-6, -2.513e-6, 7.537e-6, 4.266e-6, -3.271e-6
-0.200, 6.006e-6, 3.488e-6, -2.518e-6, 7.559e-6, 4.284e-6, -3.275e-6
-0.204, 6.035e-6, 3.514e-6, -2.521e-6, 7.564e-6, 4.300e-6, -3.264e-6
-0.208, 6.081e-6, 3.547e-6, -2.534e-6, 7.589e-6, 4.318e-6, -3.272e-6
-0.212, 6.097e-6, 3.567e-6, -2.530e-6, 7.593e-6, 4.332e-6, -3.261e-6
-0.216, 6.146e-6, 3.599e-6, -2.547e-6, 7.614e-6, 4.347e-6, -3.267e-6
-0.220, 6.190e-6, 3.638e-6, -2.552e-6, 7.645e-6, 4.376e-6, -3.269e-6
-0.224, 6.225e-6, 3.664e-6, -2.561e-6, 7.656e-6, 4.391e-6, -3.266e-6
-0.228, 6.276e-6, 3.703e-6, -2.574e-6, 7.684e-6, 4.413e-6, -3.271e-6
-0.232, 6.296e-6, 3.726e-6, -2.570e-6, 7.691e-6, 4.429e-6, -3.263e-6
-0.236, 6.352e-6, 3.762e-6, -2.590e-6, 7.715e-6, 4.449e-6, -3.266e-6
-0.240, 6.396e-6, 3.799e-6, -2.597e-6, 7.749e-6, 4.476e-6, -3.273e-6
-0.244, 6.427e-6, 3.827e-6, -2.600e-6, 7.759e-6, 4.495e-6, -3.264e-6
-0.248, 6.477e-6, 3.863e-6, -2.614e-6, 7.787e-6, 4.514e-6, -3.273e-6
-0.252, 6.499e-6, 3.892e-6, -2.607e-6, 7.800e-6, 4.539e-6, -3.261e-6
-0.256, 6.551e-6, 3.926e-6, -2.625e-6, 7.825e-6, 4.557e-6, -3.268e-6
-0.260, 6.591e-6, 3.966e-6, -2.626e-6, 7.856e-6, 4.590e-6, -3.266e-6
-0.264, 6.619e-6, 3.990e-6, -2.629e-6, 7.869e-6, 4.609e-6, -3.261e-6
-0.268, 6.658e-6, 4.026e-6, -2.632e-6, 7.894e-6, 4.633e-6, -3.260e-6
-0.272, 6.672e-6, 4.050e-6, -2.622e-6, 7.904e-6, 4.656e-6, -3.249e-6
-0.276, 6.713e-6, 4.084e-6, -2.629e-6, 7.925e-6, 4.678e-6, -3.247e-6
-0.280, 6.743e-6, 4.120e-6, -2.623e-6, 7.956e-6, 4.711e-6, -3.245e-6
-0.284, 6.755e-6, 4.144e-6, -2.611e-6, 7.962e-6, 4.733e-6, -3.230e-6
-0.288, 6.788e-6, 4.178e-6, -2.610e-6, 7.988e-6, 4.759e-6, -3.229e-6
-0.292, 6.785e-6, 4.201e-6, -2.584e-6, 7.992e-6, 4.785e-6, -3.207e-6
-0.296, 6.816e-6, 4.234e-6, -2.582e-6, 8.014e-6, 4.812e-6, -3.202e-6
-0.300, 6.834e-6, 4.271e-6, -2.563e-6, 8.040e-6, 4.847e-6, -3.193e-6
-0.304, 6.844e-6, 4.297e-6, -2.547e-6, 8.053e-6, 4.877e-6, -3.177e-6
-0.308, 6.862e-6, 4.333e-6, -2.528e-6, 8.070e-6, 4.907e-6, -3.163e-6
-0.312, 6.857e-6, 4.359e-6, -2.499e-6, 8.081e-6, 4.937e-6, -3.144e-6
-0.316, 6.879e-6, 4.395e-6, -2.484e-6, 8.104e-6, 4.970e-6, -3.134e-6
-0.320, 6.894e-6, 4.435e-6, -2.459e-6, 8.131e-6, 5.011e-6, -3.120e-6
-0.324, 6.896e-6, 4.468e-6, -2.428e-6, 8.142e-6, 5.047e-6, -3.095e-6
-0.328, 6.914e-6, 4.507e-6, -2.407e-6, 8.166e-6, 5.083e-6, -3.083e-6
-0.332, 6.901e-6, 4.536e-6, -2.365e-6, 8.172e-6, 5.118e-6, -3.054e-6
-0.336, 6.919e-6, 4.575e-6, -2.344e-6, 8.192e-6, 5.153e-6, -3.039e-6
-0.340, 6.935e-6, 4.624e-6, -2.312e-6, 8.225e-6, 5.205e-6, -3.020e-6
-0.344, 6.935e-6, 4.658e-6, -2.277e-6, 8.237e-6, 5.244e-6, -2.993e-6
-0.348, 6.955e-6, 4.706e-6, -2.249e-6, 8.263e-6, 5.287e-6, -2.976e-6
-0.352, 6.945e-6, 4.741e-6, -2.204e-6, 8.274e-6, 5.329e-6, -2.945e-6
-0.356, 6.964e-6, 4.786e-6, -2.178e-6, 8.297e-6, 5.372e-6, -2.925e-6
-0.360, 6.980e-6, 4.838e-6, -2.142e-6, 8.333e-6, 5.426e-6, -2.907e-6
-0.364, 6.988e-6, 4.883e-6, -2.106e-6, 8.351e-6, 5.475e-6, -2.876e-6
-0.368, 7.006e-6, 4.933e-6, -2.073e-6, 8.375e-6, 5.521e-6, -2.854e-6
-0.372, 6.998e-6, 4.976e-6, -2.022e-6, 8.387e-6, 5.570e-6, -2.817e-6
