Sept. 28, 2023   14:31:36
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\50_0_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 50
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 2.595e-6, 6.364e-7, -1.959e-6, 2.914e-6, 7.120e-7, -2.202e-6
-0.008, 3.224e-6, 1.463e-6, -1.761e-6, 3.654e-6, 1.669e-6, -1.985e-6
-0.012, 3.163e-6, 1.497e-6, -1.666e-6, 3.596e-6, 1.710e-6, -1.886e-6
-0.016, 3.088e-6, 1.489e-6, -1.599e-6, 3.518e-6, 1.705e-6, -1.813e-6
-0.020, 3.019e-6, 1.480e-6, -1.540e-6, 3.441e-6, 1.694e-6, -1.747e-6
-0.024, 2.951e-6, 1.466e-6, -1.486e-6, 3.363e-6, 1.677e-6, -1.686e-6
-0.028, 2.875e-6, 1.443e-6, -1.432e-6, 3.281e-6, 1.653e-6, -1.628e-6
-0.032, 2.802e-6, 1.422e-6, -1.381e-6, 3.209e-6, 1.633e-6, -1.576e-6
-0.036, 2.749e-6, 1.405e-6, -1.343e-6, 3.153e-6, 1.617e-6, -1.536e-6
-0.040, 2.699e-6, 1.392e-6, -1.307e-6, 3.094e-6, 1.602e-6, -1.493e-6
-0.044, 2.648e-6, 1.379e-6, -1.269e-6, 3.035e-6, 1.585e-6, -1.449e-6
-0.048, 2.591e-6, 1.358e-6, -1.232e-6, 2.971e-6, 1.562e-6, -1.409e-6
-0.052, 2.539e-6, 1.343e-6, -1.196e-6, 2.921e-6, 1.548e-6, -1.373e-6
-0.056, 2.499e-6, 1.328e-6, -1.171e-6, 2.880e-6, 1.534e-6, -1.346e-6
-0.060, 2.464e-6, 1.319e-6, -1.145e-6, 2.837e-6, 1.523e-6, -1.314e-6
-0.064, 2.431e-6, 1.312e-6, -1.120e-6, 2.795e-6, 1.512e-6, -1.284e-6
-0.068, 2.389e-6, 1.295e-6, -1.093e-6, 2.750e-6, 1.494e-6, -1.256e-6
-0.072, 2.350e-6, 1.284e-6, -1.067e-6, 2.713e-6, 1.484e-6, -1.229e-6
-0.076, 2.325e-6, 1.274e-6, -1.050e-6, 2.687e-6, 1.476e-6, -1.211e-6
-0.080, 2.302e-6, 1.270e-6, -1.032e-6, 2.656e-6, 1.468e-6, -1.188e-6
-0.084, 2.281e-6, 1.266e-6, -1.015e-6, 2.626e-6, 1.461e-6, -1.166e-6
-0.088, 2.249e-6, 1.255e-6, -9.941e-7, 2.592e-6, 1.448e-6, -1.144e-6
-0.092, 2.221e-6, 1.247e-6, -9.747e-7, 2.567e-6, 1.442e-6, -1.125e-6
-0.096, 2.207e-6, 1.242e-6, -9.649e-7, 2.550e-6, 1.436e-6, -1.113e-6
-0.100, 2.193e-6, 1.241e-6, -9.522e-7, 2.530e-6, 1.434e-6, -1.096e-6
-0.104, 2.181e-6, 1.242e-6, -9.394e-7, 2.511e-6, 1.431e-6, -1.079e-6
-0.108, 2.158e-6, 1.234e-6, -9.247e-7, 2.485e-6, 1.422e-6, -1.063e-6
-0.112, 2.141e-6, 1.230e-6, -9.107e-7, 2.469e-6, 1.419e-6, -1.050e-6
-0.116, 2.136e-6, 1.230e-6, -9.057e-7, 2.463e-6, 1.419e-6, -1.043e-6
-0.120, 2.129e-6, 1.231e-6, -8.979e-7, 2.450e-6, 1.418e-6, -1.032e-6
-0.124, 2.124e-6, 1.235e-6, -8.887e-7, 2.436e-6, 1.417e-6, -1.019e-6
-0.128, 2.109e-6, 1.231e-6, -8.783e-7, 2.418e-6, 1.411e-6, -1.007e-6
-0.132, 2.099e-6, 1.232e-6, -8.670e-7, 2.410e-6, 1.413e-6, -9.965e-7
-0.136, 2.100e-6, 1.234e-6, -8.657e-7, 2.408e-6, 1.415e-6, -9.935e-7
-0.140, 2.102e-6, 1.240e-6, -8.614e-7, 2.403e-6, 1.419e-6, -9.848e-7
-0.144, 2.105e-6, 1.248e-6, -8.568e-7, 2.397e-6, 1.421e-6, -9.762e-7
-0.148, 2.097e-6, 1.249e-6, -8.482e-7, 2.387e-6, 1.420e-6, -9.668e-7
-0.152, 2.094e-6, 1.252e-6, -8.411e-7, 2.383e-6, 1.423e-6, -9.595e-7
-0.156, 2.103e-6, 1.261e-6, -8.418e-7, 2.390e-6, 1.431e-6, -9.589e-7
-0.160, 2.110e-6, 1.269e-6, -8.404e-7, 2.389e-6, 1.436e-6, -9.527e-7
-0.164, 2.119e-6, 1.282e-6, -8.375e-7, 2.389e-6, 1.443e-6, -9.460e-7
-0.168, 2.117e-6, 1.285e-6, -8.320e-7, 2.383e-6, 1.443e-6, -9.397e-7
-0.172, 2.120e-6, 1.295e-6, -8.254e-7, 2.385e-6, 1.452e-6, -9.334e-7
-0.176, 2.134e-6, 1.304e-6, -8.295e-7, 2.396e-6, 1.460e-6, -9.353e-7
-0.180, 2.150e-6, 1.320e-6, -8.300e-7, 2.402e-6, 1.471e-6, -9.310e-7
-0.184, 2.167e-6, 1.337e-6, -8.300e-7, 2.409e-6, 1.482e-6, -9.268e-7
-0.188, 2.170e-6, 1.345e-6, -8.250e-7, 2.405e-6, 1.484e-6, -9.203e-7
-0.192, 2.183e-6, 1.361e-6, -8.221e-7, 2.416e-6, 1.498e-6, -9.171e-7
-0.196, 2.202e-6, 1.376e-6, -8.264e-7, 2.431e-6, 1.512e-6, -9.196e-7
-0.200, 2.224e-6, 1.396e-6, -8.284e-7, 2.441e-6, 1.525e-6, -9.161e-7
-0.204, 2.244e-6, 1.418e-6, -8.260e-7, 2.450e-6, 1.540e-6, -9.099e-7
-0.208, 2.257e-6, 1.432e-6, -8.243e-7, 2.455e-6, 1.548e-6, -9.063e-7
-0.212, 2.271e-6, 1.451e-6, -8.199e-7, 2.465e-6, 1.563e-6, -9.017e-7
-0.216, 2.299e-6, 1.472e-6, -8.270e-7, 2.487e-6, 1.581e-6, -9.054e-7
-0.220, 2.325e-6, 1.498e-6, -8.271e-7, 2.500e-6, 1.600e-6, -9.004e-7
-0.224, 2.353e-6, 1.524e-6, -8.284e-7, 2.514e-6, 1.617e-6, -8.977e-7
-0.228, 2.368e-6, 1.544e-6, -8.243e-7, 2.521e-6, 1.630e-6, -8.910e-7
-0.232, 2.387e-6, 1.566e-6, -8.207e-7, 2.536e-6, 1.649e-6, -8.873e-7
-0.236, 2.419e-6, 1.592e-6, -8.269e-7, 2.561e-6, 1.671e-6, -8.905e-7
-0.240, 2.448e-6, 1.622e-6, -8.263e-7, 2.578e-6, 1.693e-6, -8.849e-7
-0.244, 2.477e-6, 1.653e-6, -8.245e-7, 2.593e-6, 1.715e-6, -8.782e-7
-0.248, 2.494e-6, 1.674e-6, -8.206e-7, 2.602e-6, 1.730e-6, -8.722e-7
-0.252, 2.514e-6, 1.700e-6, -8.144e-7, 2.619e-6, 1.754e-6, -8.655e-7
-0.256, 2.546e-6, 1.729e-6, -8.173e-7, 2.645e-6, 1.779e-6, -8.657e-7
-0.260, 2.574e-6, 1.759e-6, -8.145e-7, 2.662e-6, 1.804e-6, -8.582e-7
-0.264, 2.601e-6, 1.791e-6, -8.098e-7, 2.678e-6, 1.829e-6, -8.492e-7
