Sept. 28, 2023   15:05:54
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\30_100_3.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 1.750e-6, 4.200e-7, -1.330e-6, 1.969e-6, 4.580e-7, -1.511e-6
-0.008, 2.070e-6, 8.818e-7, -1.188e-6, 2.337e-6, 9.855e-7, -1.352e-6
-0.012, 2.028e-6, 9.085e-7, -1.120e-6, 2.290e-6, 1.015e-6, -1.275e-6
-0.016, 1.973e-6, 9.060e-7, -1.067e-6, 2.228e-6, 1.013e-6, -1.215e-6
-0.020, 1.922e-6, 8.997e-7, -1.022e-6, 2.170e-6, 1.006e-6, -1.163e-6
-0.024, 1.870e-6, 8.893e-7, -9.810e-7, 2.112e-6, 9.951e-7, -1.117e-6
-0.028, 1.822e-6, 8.781e-7, -9.442e-7, 2.058e-6, 9.836e-7, -1.075e-6
-0.032, 1.776e-6, 8.662e-7, -9.103e-7, 2.007e-6, 9.708e-7, -1.036e-6
-0.036, 1.733e-6, 8.550e-7, -8.784e-7, 1.958e-6, 9.585e-7, -9.998e-7
-0.040, 1.694e-6, 8.447e-7, -8.492e-7, 1.914e-6, 9.475e-7, -9.663e-7
-0.044, 1.656e-6, 8.343e-7, -8.213e-7, 1.871e-6, 9.362e-7, -9.343e-7
-0.048, 1.619e-6, 8.235e-7, -7.959e-7, 1.831e-6, 9.252e-7, -9.053e-7
-0.052, 1.586e-6, 8.140e-7, -7.719e-7, 1.792e-6, 9.147e-7, -8.778e-7
-0.056, 1.554e-6, 8.042e-7, -7.498e-7, 1.756e-6, 9.044e-7, -8.520e-7
-0.060, 1.524e-6, 7.953e-7, -7.289e-7, 1.723e-6, 8.946e-7, -8.279e-7
-0.064, 1.497e-6, 7.873e-7, -7.093e-7, 1.691e-6, 8.857e-7, -8.056e-7
-0.068, 1.471e-6, 7.797e-7, -6.912e-7, 1.662e-6, 8.774e-7, -7.842e-7
-0.072, 1.446e-6, 7.725e-7, -6.735e-7, 1.634e-6, 8.693e-7, -7.645e-7
-0.076, 1.422e-6, 7.650e-7, -6.572e-7, 1.606e-6, 8.612e-7, -7.450e-7
-0.080, 1.400e-6, 7.585e-7, -6.417e-7, 1.582e-6, 8.541e-7, -7.281e-7
-0.084, 1.380e-6, 7.522e-7, -6.274e-7, 1.558e-6, 8.473e-7, -7.108e-7
-0.088, 1.361e-6, 7.470e-7, -6.141e-7, 1.536e-6, 8.410e-7, -6.952e-7
-0.092, 1.344e-6, 7.419e-7, -6.016e-7, 1.516e-6, 8.352e-7, -6.805e-7
-0.096, 1.327e-6, 7.372e-7, -5.898e-7, 1.497e-6, 8.298e-7, -6.667e-7
-0.100, 1.311e-6, 7.333e-7, -5.776e-7, 1.477e-6, 8.247e-7, -6.524e-7
-0.104, 1.296e-6, 7.290e-7, -5.675e-7, 1.460e-6, 8.202e-7, -6.403e-7
-0.108, 1.282e-6, 7.256e-7, -5.569e-7, 1.444e-6, 8.157e-7, -6.283e-7
-0.112, 1.269e-6, 7.225e-7, -5.470e-7, 1.428e-6, 8.117e-7, -6.161e-7
-0.116, 1.258e-6, 7.200e-7, -5.382e-7, 1.414e-6, 8.082e-7, -6.054e-7
-0.120, 1.247e-6, 7.178e-7, -5.297e-7, 1.400e-6, 8.050e-7, -5.945e-7
-0.124, 1.238e-6, 7.158e-7, -5.222e-7, 1.388e-6, 8.021e-7, -5.863e-7
-0.128, 1.230e-6, 7.148e-7, -5.148e-7, 1.377e-6, 8.004e-7, -5.768e-7
-0.132, 1.221e-6, 7.136e-7, -5.078e-7, 1.366e-6, 7.975e-7, -5.683e-7
-0.136, 1.214e-6, 7.132e-7, -5.006e-7, 1.356e-6, 7.960e-7, -5.595e-7
-0.140, 1.207e-6, 7.136e-7, -4.935e-7, 1.346e-6, 7.951e-7, -5.505e-7
-0.144, 1.202e-6, 7.134e-7, -4.883e-7, 1.337e-6, 7.939e-7, -5.435e-7
