Sept. 28, 2023   14:27:09
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\30_0_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 1.164e-6, 3.249e-7, -8.387e-7, 1.316e-6, 3.717e-7, -9.439e-7
-0.008, 1.384e-6, 6.355e-7, -7.488e-7, 1.570e-6, 7.258e-7, -8.441e-7
-0.012, 1.369e-6, 6.586e-7, -7.101e-7, 1.553e-6, 7.524e-7, -8.011e-7
-0.016, 1.343e-6, 6.616e-7, -6.811e-7, 1.525e-6, 7.556e-7, -7.691e-7
-0.020, 1.317e-6, 6.602e-7, -6.569e-7, 1.496e-6, 7.545e-7, -7.415e-7
-0.024, 1.292e-6, 6.569e-7, -6.348e-7, 1.469e-6, 7.519e-7, -7.168e-7
-0.028, 1.270e-6, 6.543e-7, -6.161e-7, 1.445e-6, 7.492e-7, -6.954e-7
-0.032, 1.248e-6, 6.492e-7, -5.990e-7, 1.421e-6, 7.442e-7, -6.765e-7
-0.036, 1.227e-6, 6.446e-7, -5.826e-7, 1.397e-6, 7.393e-7, -6.575e-7
-0.040, 1.209e-6, 6.408e-7, -5.678e-7, 1.376e-6, 7.355e-7, -6.408e-7
-0.044, 1.192e-6, 6.373e-7, -5.542e-7, 1.357e-6, 7.318e-7, -6.254e-7
-0.048, 1.175e-6, 6.338e-7, -5.411e-7, 1.339e-6, 7.285e-7, -6.105e-7
-0.052, 1.160e-6, 6.305e-7, -5.297e-7, 1.322e-6, 7.246e-7, -5.972e-7
-0.056, 1.146e-6, 6.270e-7, -5.187e-7, 1.306e-6, 7.208e-7, -5.849e-7
-0.060, 1.133e-6, 6.251e-7, -5.083e-7, 1.291e-6, 7.186e-7, -5.727e-7
-0.064, 1.121e-6, 6.219e-7, -4.988e-7, 1.277e-6, 7.154e-7, -5.619e-7
-0.068, 1.110e-6, 6.202e-7, -4.898e-7, 1.265e-6, 7.133e-7, -5.519e-7
-0.072, 1.101e-6, 6.193e-7, -4.818e-7, 1.255e-6, 7.121e-7, -5.427e-7
-0.076, 1.092e-6, 6.176e-7, -4.746e-7, 1.244e-6, 7.104e-7, -5.340e-7
-0.080, 1.084e-6, 6.166e-7, -4.673e-7, 1.235e-6, 7.097e-7, -5.255e-7
-0.084, 1.078e-6, 6.165e-7, -4.612e-7, 1.227e-6, 7.089e-7, -5.181e-7
-0.088, 1.072e-6, 6.163e-7, -4.562e-7, 1.221e-6, 7.087e-7, -5.123e-7
-0.092, 1.067e-6, 6.171e-7, -4.499e-7, 1.214e-6, 7.089e-7, -5.048e-7
-0.096, 1.063e-6, 6.174e-7, -4.456e-7, 1.208e-6, 7.095e-7, -4.990e-7
-0.100, 1.061e-6, 6.193e-7, -4.415e-7, 1.206e-6, 7.109e-7, -4.947e-7
-0.104, 1.058e-6, 6.211e-7, -4.366e-7, 1.201e-6, 7.122e-7, -4.887e-7
-0.108, 1.057e-6, 6.237e-7, -4.329e-7, 1.199e-6, 7.149e-7, -4.839e-7
-0.112, 1.055e-6, 6.255e-7, -4.295e-7, 1.196e-6, 7.165e-7, -4.793e-7
-0.116, 1.056e-6, 6.284e-7, -4.272e-7, 1.195e-6, 7.189e-7, -4.758e-7
-0.120, 1.057e-6, 6.324e-7, -4.248e-7, 1.195e-6, 7.223e-7, -4.729e-7
-0.124, 1.059e-6, 6.362e-7, -4.226e-7, 1.195e-6, 7.253e-7, -4.700e-7
-0.128, 1.060e-6, 6.407e-7, -4.195e-7, 1.196e-6, 7.296e-7, -4.659e-7
-0.132, 1.064e-6, 6.458e-7, -4.183e-7, 1.198e-6, 7.342e-7, -4.634e-7
-0.136, 1.068e-6, 6.518e-7, -4.165e-7, 1.200e-6, 7.390e-7, -4.606e-7
-0.140, 1.074e-6, 6.579e-7, -4.159e-7, 1.204e-6, 7.446e-7, -4.595e-7
-0.144, 1.079e-6, 6.640e-7, -4.149e-7, 1.207e-6, 7.498e-7, -4.577e-7
-0.148, 1.085e-6, 6.711e-7, -4.144e-7, 1.212e-6, 7.562e-7, -4.559e-7
-0.152, 1.092e-6, 6.783e-7, -4.136e-7, 1.217e-6, 7.628e-7, -4.540e-7
-0.156, 1.101e-6, 6.870e-7, -4.136e-7, 1.224e-6, 7.704e-7, -4.532e-7
-0.160, 1.108e-6, 6.952e-7, -4.132e-7, 1.229e-6, 7.775e-7, -4.519e-7
-0.164, 1.118e-6, 7.046e-7, -4.134e-7, 1.237e-6, 7.859e-7, -4.508e-7
