Sept. 28, 2023   14:49:57
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\30_10_3.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 1.769e-6, 4.426e-7, -1.326e-6, 2.002e-6, 4.902e-7, -1.512e-6
-0.008, 2.098e-6, 9.148e-7, -1.183e-6, 2.389e-6, 1.037e-6, -1.352e-6
-0.012, 2.060e-6, 9.431e-7, -1.117e-6, 2.346e-6, 1.069e-6, -1.278e-6
-0.016, 2.009e-6, 9.430e-7, -1.066e-6, 2.289e-6, 1.069e-6, -1.220e-6
-0.020, 1.959e-6, 9.366e-7, -1.023e-6, 2.234e-6, 1.063e-6, -1.171e-6
-0.024, 1.912e-6, 9.279e-7, -9.839e-7, 2.181e-6, 1.053e-6, -1.128e-6
-0.028, 1.867e-6, 9.184e-7, -9.491e-7, 2.131e-6, 1.043e-6, -1.088e-6
-0.032, 1.823e-6, 9.071e-7, -9.158e-7, 2.082e-6, 1.031e-6, -1.051e-6
-0.036, 1.784e-6, 8.980e-7, -8.859e-7, 2.038e-6, 1.021e-6, -1.016e-6
-0.040, 1.747e-6, 8.879e-7, -8.587e-7, 1.996e-6, 1.011e-6, -9.853e-7
-0.044, 1.711e-6, 8.784e-7, -8.322e-7, 1.955e-6, 1.000e-6, -9.550e-7
-0.048, 1.677e-6, 8.692e-7, -8.076e-7, 1.917e-6, 9.904e-7, -9.268e-7
-0.052, 1.646e-6, 8.602e-7, -7.856e-7, 1.882e-6, 9.804e-7, -9.014e-7
-0.056, 1.616e-6, 8.517e-7, -7.643e-7, 1.849e-6, 9.714e-7, -8.772e-7
-0.060, 1.589e-6, 8.446e-7, -7.448e-7, 1.818e-6, 9.635e-7, -8.543e-7
-0.064, 1.563e-6, 8.363e-7, -7.264e-7, 1.788e-6, 9.542e-7, -8.336e-7
-0.068, 1.537e-6, 8.292e-7, -7.083e-7, 1.759e-6, 9.466e-7, -8.128e-7
-0.072, 1.515e-6, 8.230e-7, -6.922e-7, 1.734e-6, 9.397e-7, -7.944e-7
