July 4, 2022   11:43:12
Differential Pulse Voltammetry
File: c:\users\weigao\desktop\sam\dopamine\2022-07-03 deposition amount\apba 14 seg 100 um da ser - 10 min.txt
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.5
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Ep = 0.352V
Eh = 0.316V
Ehw = 0.088V
ip = 9.200e-6A
Ap = 8.882e-7VA

Potential/V, Current/A

0.004, 7.132e-5
0.008, 7.082e-5
0.012, 7.036e-5
0.016, 6.991e-5
0.020, 6.948e-5
0.024, 6.906e-5
0.028, 6.868e-5
0.032, 6.830e-5
0.036, 6.789e-5
0.040, 6.739e-5
0.044, 6.704e-5
0.048, 6.625e-5
0.052, 6.594e-5
0.056, 6.540e-5
0.060, 6.491e-5
0.064, 6.431e-5
0.068, 6.371e-5
0.072, 6.309e-5
0.076, 6.246e-5
0.080, 6.178e-5
0.084, 6.111e-5
0.088, 6.041e-5
0.092, 5.972e-5
0.096, 5.902e-5
0.100, 5.832e-5
0.104, 5.764e-5
0.108, 5.698e-5
0.112, 5.634e-5
0.116, 5.574e-5
0.120, 5.518e-5
0.124, 5.469e-5
0.128, 5.424e-5
0.132, 5.384e-5
0.136, 5.352e-5
0.140, 5.326e-5
0.144, 5.304e-5
0.148, 5.289e-5
0.152, 5.277e-5
0.156, 5.271e-5
0.160, 5.267e-5
0.164, 5.263e-5
0.168, 5.260e-5
0.172, 5.256e-5
0.176, 5.248e-5
0.180, 5.237e-5
0.184, 5.220e-5
0.188, 5.200e-5
0.192, 5.174e-5
0.196, 5.142e-5
0.200, 5.106e-5
0.204, 5.066e-5
0.208, 5.021e-5
0.212, 4.975e-5
0.216, 4.927e-5
0.220, 4.881e-5
0.224, 4.835e-5
0.228, 4.792e-5
0.232, 4.751e-5
0.236, 4.714e-5
0.240, 4.674e-5
0.244, 4.659e-5
0.248, 4.632e-5
0.252, 4.621e-5
0.256, 4.601e-5
0.260, 4.592e-5
0.264, 4.589e-5
0.268, 4.591e-5
0.272, 4.596e-5
0.276, 4.606e-5
0.280, 4.621e-5
0.284, 4.641e-5
0.288, 4.666e-5
0.292, 4.693e-5
0.296, 4.725e-5
0.300, 4.761e-5
0.304, 4.801e-5
0.308, 4.842e-5
0.312, 4.882e-5
0.316, 4.935e-5
0.320, 4.964e-5
0.324, 5.066e-5
0.328, 5.086e-5
0.332, 5.130e-5
0.336, 5.170e-5
0.340, 5.205e-5
0.344, 5.232e-5
0.348, 5.243e-5
0.352, 5.255e-5
0.356, 5.235e-5
0.360, 5.224e-5
0.364, 5.184e-5
0.368, 5.226e-5
0.372, 5.104e-5
0.376, 5.042e-5
0.380, 4.985e-5
0.384, 4.918e-5
0.388, 4.851e-5
0.392, 4.806e-5
0.396, 4.735e-5
0.400, 4.669e-5
0.404, 4.617e-5
0.408, 4.564e-5
0.412, 4.518e-5
0.416, 4.472e-5
0.420, 4.430e-5
0.424, 4.371e-5
0.428, 4.350e-5
0.432, 4.315e-5
0.436, 4.287e-5
0.440, 4.251e-5
0.444, 4.209e-5
0.448, 4.170e-5
0.452, 4.131e-5
0.456, 4.115e-5
0.460, 4.086e-5
0.464, 4.060e-5
0.468, 4.032e-5
0.472, 4.008e-5
0.476, 3.985e-5
0.480, 3.966e-5
0.484, 3.946e-5
0.488, 3.927e-5
0.492, 3.912e-5
0.496, 3.897e-5
0.500, 3.884e-5
