Sept. 28, 2023   15:07:14
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\40_100_3.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 40
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 2.393e-6, 5.633e-7, -1.830e-6, 2.717e-6, 6.129e-7, -2.104e-6
-0.008, 2.897e-6, 1.252e-6, -1.645e-6, 3.316e-6, 1.423e-6, -1.893e-6
-0.012, 2.833e-6, 1.286e-6, -1.547e-6, 3.240e-6, 1.455e-6, -1.785e-6
-0.016, 2.756e-6, 1.275e-6, -1.481e-6, 3.155e-6, 1.448e-6, -1.706e-6
-0.020, 2.676e-6, 1.265e-6, -1.412e-6, 3.062e-6, 1.431e-6, -1.631e-6
-0.024, 2.606e-6, 1.245e-6, -1.362e-6, 2.985e-6, 1.415e-6, -1.570e-6
-0.028, 2.534e-6, 1.230e-6, -1.304e-6, 2.899e-6, 1.393e-6, -1.506e-6
-0.032, 2.471e-6, 1.209e-6, -1.262e-6, 2.830e-6, 1.375e-6, -1.455e-6
-0.036, 2.406e-6, 1.195e-6, -1.211e-6, 2.753e-6, 1.354e-6, -1.399e-6
-0.040, 2.352e-6, 1.175e-6, -1.177e-6, 2.694e-6, 1.337e-6, -1.357e-6
-0.044, 2.294e-6, 1.162e-6, -1.132e-6, 2.626e-6, 1.317e-6, -1.308e-6
-0.048, 2.243e-6, 1.141e-6, -1.101e-6, 2.571e-6, 1.300e-6, -1.271e-6
-0.052, 2.192e-6, 1.130e-6, -1.062e-6, 2.510e-6, 1.282e-6, -1.228e-6
-0.056, 2.151e-6, 1.114e-6, -1.037e-6, 2.465e-6, 1.269e-6, -1.196e-6
-0.060, 2.104e-6, 1.103e-6, -1.001e-6, 2.411e-6, 1.252e-6, -1.158e-6
-0.064, 2.066e-6, 1.086e-6, -9.797e-7, 2.369e-6, 1.239e-6, -1.130e-6
-0.068, 2.024e-6, 1.077e-6, -9.472e-7, 2.320e-6, 1.224e-6, -1.096e-6
-0.072, 1.992e-6, 1.063e-6, -9.292e-7, 2.285e-6, 1.213e-6, -1.072e-6
-0.076, 1.956e-6, 1.056e-6, -8.999e-7, 2.241e-6, 1.200e-6, -1.041e-6
-0.080, 1.928e-6, 1.043e-6, -8.852e-7, 2.211e-6, 1.190e-6, -1.021e-6
-0.084, 1.895e-6, 1.037e-6, -8.583e-7, 2.170e-6, 1.177e-6, -9.925e-7
-0.088, 1.873e-6, 1.026e-6, -8.467e-7, 2.146e-6, 1.170e-6, -9.759e-7
-0.092, 1.842e-6, 1.020e-6, -8.217e-7, 2.108e-6, 1.158e-6, -9.502e-7
-0.096, 1.822e-6, 1.010e-6, -8.122e-7, 2.087e-6, 1.151e-6, -9.354e-7
-0.100, 1.795e-6, 1.006e-6, -7.887e-7, 2.053e-6, 1.142e-6, -9.114e-7
-0.104, 1.778e-6, 9.978e-7, -7.802e-7, 2.034e-6, 1.136e-6, -8.983e-7
-0.108, 1.754e-6, 9.942e-7, -7.602e-7, 2.003e-6, 1.127e-6, -8.768e-7
-0.112, 1.741e-6, 9.871e-7, -7.544e-7, 1.990e-6, 1.122e-6, -8.673e-7
-0.116, 1.720e-6, 9.847e-7, -7.349e-7, 1.961e-6, 1.114e-6, -8.465e-7
-0.120, 1.708e-6, 9.788e-7, -7.293e-7, 1.948e-6, 1.112e-6, -8.368e-7
-0.124, 1.690e-6, 9.777e-7, -7.126e-7, 1.923e-6, 1.104e-6, -8.193e-7
-0.128, 1.680e-6, 9.719e-7, -7.083e-7, 1.913e-6, 1.102e-6, -8.110e-7
-0.132, 1.664e-6, 9.716e-7, -6.922e-7, 1.888e-6, 1.095e-6, -7.936e-7
-0.136, 1.658e-6, 9.685e-7, -6.898e-7, 1.882e-6, 1.094e-6, -7.876e-7
-0.140, 1.643e-6, 9.695e-7, -6.734e-7, 1.859e-6, 1.089e-6, -7.707e-7
-0.144, 1.640e-6, 9.672e-7, -6.726e-7, 1.855e-6, 1.089e-6, -7.660e-7
-0.148, 1.628e-6, 9.690e-7, -6.589e-7, 1.836e-6, 1.085e-6, -7.515e-7
-0.152, 1.623e-6, 9.664e-7, -6.567e-7, 1.830e-6, 1.084e-6, -7.458e-7
-0.156, 1.614e-6, 9.699e-7, -6.442e-7, 1.813e-6, 1.081e-6, -7.326e-7
-0.160, 1.613e-6, 9.684e-7, -6.448e-7, 1.811e-6, 1.082e-6, -7.289e-7
-0.164, 1.604e-6, 9.727e-7, -6.312e-7, 1.794e-6, 1.080e-6, -7.149e-7
-0.168, 1.606e-6, 9.739e-7, -6.323e-7, 1.795e-6, 1.082e-6, -7.125e-7
-0.172, 1.600e-6, 9.794e-7, -6.208e-7, 1.781e-6, 1.081e-6, -6.999e-7
-0.176, 1.602e-6, 9.802e-7, -6.220e-7, 1.781e-6, 1.083e-6, -6.974e-7
-0.180, 1.598e-6, 9.870e-7, -6.105e-7, 1.768e-6, 1.083e-6, -6.854e-7
