Sept. 28, 2023   14:29:08
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\40_0_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 40
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 2.021e-6, 5.230e-7, -1.498e-6, 2.274e-6, 5.901e-7, -1.683e-6
-0.008, 2.437e-6, 1.101e-6, -1.335e-6, 2.758e-6, 1.251e-6, -1.507e-6
-0.012, 2.405e-6, 1.136e-6, -1.270e-6, 2.725e-6, 1.293e-6, -1.432e-6
-0.016, 2.343e-6, 1.134e-6, -1.209e-6, 2.658e-6, 1.289e-6, -1.369e-6
-0.020, 2.297e-6, 1.128e-6, -1.169e-6, 2.607e-6, 1.287e-6, -1.321e-6
-0.024, 2.237e-6, 1.115e-6, -1.121e-6, 2.543e-6, 1.271e-6, -1.272e-6
-0.028, 2.195e-6, 1.106e-6, -1.089e-6, 2.497e-6, 1.263e-6, -1.234e-6
-0.032, 2.139e-6, 1.091e-6, -1.048e-6, 2.436e-6, 1.245e-6, -1.191e-6
-0.036, 2.103e-6, 1.082e-6, -1.021e-6, 2.396e-6, 1.238e-6, -1.158e-6
-0.040, 2.054e-6, 1.069e-6, -9.845e-7, 2.343e-6, 1.222e-6, -1.122e-6
-0.044, 2.023e-6, 1.059e-6, -9.637e-7, 2.308e-6, 1.214e-6, -1.094e-6
-0.048, 1.978e-6, 1.047e-6, -9.314e-7, 2.260e-6, 1.197e-6, -1.062e-6
-0.052, 1.952e-6, 1.039e-6, -9.134e-7, 2.229e-6, 1.191e-6, -1.038e-6
-0.056, 1.912e-6, 1.026e-6, -8.854e-7, 2.186e-6, 1.175e-6, -1.011e-6
-0.060, 1.891e-6, 1.021e-6, -8.700e-7, 2.160e-6, 1.171e-6, -9.890e-7
-0.064, 1.853e-6, 1.010e-6, -8.433e-7, 2.120e-6, 1.157e-6, -9.635e-7
-0.068, 1.835e-6, 1.004e-6, -8.311e-7, 2.098e-6, 1.153e-6, -9.453e-7
-0.072, 1.803e-6, 9.942e-7, -8.084e-7, 2.064e-6, 1.140e-6, -9.232e-7
-0.076, 1.788e-6, 9.904e-7, -7.978e-7, 2.045e-6, 1.138e-6, -9.074e-7
-0.080, 1.758e-6, 9.820e-7, -7.764e-7, 2.013e-6, 1.126e-6, -8.872e-7
-0.084, 1.747e-6, 9.789e-7, -7.686e-7, 1.998e-6, 1.124e-6, -8.735e-7
-0.088, 1.721e-6, 9.717e-7, -7.493e-7, 1.968e-6, 1.113e-6, -8.554e-7
-0.092, 1.713e-6, 9.701e-7, -7.426e-7, 1.958e-6, 1.114e-6, -8.442e-7
-0.096, 1.689e-6, 9.636e-7, -7.250e-7, 1.931e-6, 1.103e-6, -8.275e-7
-0.100, 1.683e-6, 9.631e-7, -7.203e-7, 1.921e-6, 1.104e-6, -8.171e-7
-0.104, 1.662e-6, 9.573e-7, -7.052e-7, 1.898e-6, 1.095e-6, -8.030e-7
-0.108, 1.658e-6, 9.580e-7, -7.003e-7, 1.891e-6, 1.097e-6, -7.934e-7
-0.112, 1.640e-6, 9.542e-7, -6.863e-7, 1.870e-6, 1.090e-6, -7.808e-7
-0.116, 1.640e-6, 9.565e-7, -6.834e-7, 1.865e-6, 1.093e-6, -7.721e-7
-0.120, 1.623e-6, 9.523e-7, -6.704e-7, 1.846e-6, 1.085e-6, -7.610e-7
-0.124, 1.625e-6, 9.559e-7, -6.688e-7, 1.844e-6, 1.090e-6, -7.546e-7
-0.128, 1.611e-6, 9.543e-7, -6.567e-7, 1.828e-6, 1.084e-6, -7.442e-7
-0.132, 1.615e-6, 9.582e-7, -6.566e-7, 1.827e-6, 1.089e-6, -7.387e-7
-0.136, 1.603e-6, 9.571e-7, -6.458e-7, 1.814e-6, 1.084e-6, -7.297e-7
-0.140, 1.608e-6, 9.626e-7, -6.454e-7, 1.814e-6, 1.090e-6, -7.240e-7
-0.144, 1.600e-6, 9.643e-7, -6.355e-7, 1.803e-6, 1.087e-6, -7.159e-7
-0.148, 1.606e-6, 9.698e-7, -6.361e-7, 1.805e-6, 1.094e-6, -7.109e-7
-0.152, 1.598e-6, 9.717e-7, -6.268e-7, 1.794e-6, 1.091e-6, -7.029e-7
-0.156, 1.608e-6, 9.797e-7, -6.279e-7, 1.797e-6, 1.099e-6, -6.987e-7
-0.160, 1.602e-6, 9.824e-7, -6.195e-7, 1.790e-6, 1.098e-6, -6.923e-7
-0.164, 1.615e-6, 9.927e-7, -6.227e-7, 1.797e-6, 1.107e-6, -6.901e-7
-0.168, 1.610e-6, 9.962e-7, -6.141e-7, 1.789e-6, 1.106e-6, -6.833e-7
-0.172, 1.624e-6, 1.007e-6, -6.173e-7, 1.796e-6, 1.116e-6, -6.805e-7
-0.176, 1.623e-6, 1.013e-6, -6.094e-7, 1.792e-6, 1.117e-6, -6.743e-7
-0.180, 1.638e-6, 1.026e-6, -6.121e-7, 1.801e-6, 1.130e-6, -6.712e-7
