Sept. 28, 2023   15:07:05
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\40_100_2.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 40
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 2.340e-6, 5.499e-7, -1.791e-6, 2.663e-6, 6.047e-7, -2.058e-6
-0.008, 2.821e-6, 1.225e-6, -1.596e-6, 3.233e-6, 1.391e-6, -1.842e-6
-0.012, 2.766e-6, 1.253e-6, -1.513e-6, 3.172e-6, 1.427e-6, -1.745e-6
-0.016, 2.682e-6, 1.247e-6, -1.435e-6, 3.074e-6, 1.415e-6, -1.659e-6
-0.020, 2.613e-6, 1.233e-6, -1.381e-6, 2.996e-6, 1.403e-6, -1.593e-6
-0.024, 2.536e-6, 1.217e-6, -1.318e-6, 2.907e-6, 1.382e-6, -1.525e-6
-0.028, 2.471e-6, 1.197e-6, -1.274e-6, 2.835e-6, 1.365e-6, -1.471e-6
-0.032, 2.403e-6, 1.182e-6, -1.221e-6, 2.755e-6, 1.342e-6, -1.413e-6
-0.036, 2.347e-6, 1.163e-6, -1.184e-6, 2.693e-6, 1.326e-6, -1.367e-6
-0.040, 2.285e-6, 1.148e-6, -1.137e-6, 2.622e-6, 1.305e-6, -1.317e-6
-0.044, 2.235e-6, 1.129e-6, -1.106e-6, 2.566e-6, 1.289e-6, -1.277e-6
-0.048, 2.180e-6, 1.116e-6, -1.064e-6, 2.502e-6, 1.269e-6, -1.232e-6
-0.052, 2.137e-6, 1.099e-6, -1.037e-6, 2.454e-6, 1.256e-6, -1.198e-6
-0.056, 2.087e-6, 1.087e-6, -1.000e-6, 2.397e-6, 1.237e-6, -1.159e-6
-0.060, 2.051e-6, 1.072e-6, -9.786e-7, 2.356e-6, 1.225e-6, -1.130e-6
-0.064, 2.007e-6, 1.061e-6, -9.458e-7, 2.304e-6, 1.209e-6, -1.095e-6
-0.068, 1.975e-6, 1.049e-6, -9.265e-7, 2.269e-6, 1.199e-6, -1.070e-6
-0.072, 1.934e-6, 1.039e-6, -8.959e-7, 2.221e-6, 1.183e-6, -1.038e-6
-0.076, 1.906e-6, 1.026e-6, -8.799e-7, 2.189e-6, 1.173e-6, -1.016e-6
-0.080, 1.872e-6, 1.019e-6, -8.535e-7, 2.148e-6, 1.160e-6, -9.884e-7
-0.084, 1.848e-6, 1.008e-6, -8.399e-7, 2.122e-6, 1.153e-6, -9.693e-7
-0.088, 1.816e-6, 1.002e-6, -8.140e-7, 2.082e-6, 1.140e-6, -9.425e-7
-0.092, 1.797e-6, 9.927e-7, -8.047e-7, 2.061e-6, 1.133e-6, -9.280e-7
-0.096, 1.770e-6, 9.880e-7, -7.815e-7, 2.027e-6, 1.123e-6, -9.038e-7
-0.100, 1.751e-6, 9.791e-7, -7.718e-7, 2.006e-6, 1.117e-6, -8.893e-7
-0.104, 1.727e-6, 9.762e-7, -7.510e-7, 1.976e-6, 1.108e-6, -8.679e-7
-0.108, 1.713e-6, 9.681e-7, -7.448e-7, 1.960e-6, 1.104e-6, -8.567e-7
-0.112, 1.691e-6, 9.655e-7, -7.259e-7, 1.932e-6, 1.094e-6, -8.372e-7
-0.116, 1.679e-6, 9.596e-7, -7.195e-7, 1.917e-6, 1.091e-6, -8.258e-7
-0.120, 1.662e-6, 9.590e-7, -7.027e-7, 1.893e-6, 1.085e-6, -8.090e-7
-0.124, 1.652e-6, 9.531e-7, -6.986e-7, 1.881e-6, 1.081e-6, -8.004e-7
-0.128, 1.634e-6, 9.524e-7, -6.816e-7, 1.857e-6, 1.074e-6, -7.830e-7
-0.132, 1.629e-6, 9.491e-7, -6.799e-7, 1.851e-6, 1.074e-6, -7.771e-7
-0.136, 1.613e-6, 9.492e-7, -6.642e-7, 1.828e-6, 1.068e-6, -7.606e-7
-0.140, 1.611e-6, 9.477e-7, -6.633e-7, 1.824e-6, 1.068e-6, -7.557e-7
-0.144, 1.597e-6, 9.497e-7, -6.471e-7, 1.803e-6, 1.064e-6, -7.389e-7
-0.148, 1.595e-6, 9.472e-7, -6.475e-7, 1.799e-6, 1.064e-6, -7.349e-7
-0.152, 1.583e-6, 9.499e-7, -6.333e-7, 1.781e-6, 1.060e-6, -7.210e-7
-0.156, 1.585e-6, 9.503e-7, -6.350e-7, 1.780e-6, 1.062e-6, -7.180e-7
-0.160, 1.576e-6, 9.539e-7, -6.219e-7, 1.764e-6, 1.060e-6, -7.047e-7
-0.164, 1.576e-6, 9.535e-7, -6.230e-7, 1.763e-6, 1.062e-6, -7.012e-7
-0.168, 1.570e-6, 9.595e-7, -6.109e-7, 1.750e-6, 1.060e-6, -6.894e-7
-0.172, 1.573e-6, 9.609e-7, -6.124e-7, 1.749e-6, 1.063e-6, -6.863e-7
-0.176, 1.568e-6, 9.670e-7, -6.011e-7, 1.736e-6, 1.061e-6, -6.749e-7
-0.180, 1.574e-6, 9.701e-7, -6.040e-7, 1.739e-6, 1.066e-6, -6.732e-7
-0.184, 1.570e-6, 9.774e-7, -5.929e-7, 1.728e-6, 1.066e-6, -6.621e-7
-0.188, 1.577e-6, 9.814e-7, -5.961e-7, 1.732e-6, 1.071e-6, -6.616e-7
-0.192, 1.574e-6, 9.901e-7, -5.843e-7, 1.720e-6, 1.071e-6, -6.491e-7
-0.196, 1.584e-6, 9.963e-7, -5.882e-7, 1.727e-6, 1.078e-6, -6.484e-7
-0.200, 1.585e-6, 1.006e-6, -5.793e-7, 1.719e-6, 1.079e-6, -6.393e-7
-0.204, 1.595e-6, 1.012e-6, -5.830e-7, 1.724e-6, 1.086e-6, -6.383e-7
