Sept. 28, 2023   14:29:27
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\40_0_3.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 40
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 2.463e-6, 6.218e-7, -1.842e-6, 2.741e-6, 6.891e-7, -2.052e-6
-0.008, 2.998e-6, 1.341e-6, -1.657e-6, 3.359e-6, 1.511e-6, -1.849e-6
-0.012, 2.951e-6, 1.384e-6, -1.567e-6, 3.307e-6, 1.555e-6, -1.753e-6
-0.016, 2.889e-6, 1.382e-6, -1.507e-6, 3.245e-6, 1.558e-6, -1.686e-6
-0.020, 2.822e-6, 1.376e-6, -1.446e-6, 3.171e-6, 1.549e-6, -1.622e-6
-0.024, 2.765e-6, 1.363e-6, -1.402e-6, 3.114e-6, 1.541e-6, -1.573e-6
-0.028, 2.704e-6, 1.353e-6, -1.350e-6, 3.046e-6, 1.527e-6, -1.519e-6
-0.032, 2.653e-6, 1.338e-6, -1.315e-6, 2.994e-6, 1.515e-6, -1.479e-6
-0.036, 2.597e-6, 1.327e-6, -1.270e-6, 2.931e-6, 1.499e-6, -1.431e-6
-0.040, 2.553e-6, 1.313e-6, -1.240e-6, 2.886e-6, 1.489e-6, -1.398e-6
-0.044, 2.505e-6, 1.302e-6, -1.202e-6, 2.831e-6, 1.473e-6, -1.357e-6
-0.048, 2.464e-6, 1.289e-6, -1.175e-6, 2.790e-6, 1.464e-6, -1.326e-6
-0.052, 2.419e-6, 1.279e-6, -1.140e-6, 2.738e-6, 1.449e-6, -1.289e-6
-0.056, 2.385e-6, 1.266e-6, -1.119e-6, 2.704e-6, 1.440e-6, -1.264e-6
-0.060, 2.346e-6, 1.258e-6, -1.088e-6, 2.659e-6, 1.427e-6, -1.232e-6
-0.064, 2.317e-6, 1.246e-6, -1.070e-6, 2.629e-6, 1.419e-6, -1.210e-6
-0.068, 2.280e-6, 1.239e-6, -1.041e-6, 2.586e-6, 1.406e-6, -1.180e-6
-0.072, 2.255e-6, 1.229e-6, -1.027e-6, 2.561e-6, 1.399e-6, -1.162e-6
-0.076, 2.223e-6, 1.222e-6, -1.001e-6, 2.524e-6, 1.389e-6, -1.135e-6
-0.080, 2.202e-6, 1.214e-6, -9.879e-7, 2.502e-6, 1.383e-6, -1.119e-6
-0.084, 2.172e-6, 1.208e-6, -9.639e-7, 2.467e-6, 1.373e-6, -1.094e-6
-0.088, 2.153e-6, 1.200e-6, -9.526e-7, 2.446e-6, 1.368e-6, -1.079e-6
-0.092, 2.126e-6, 1.195e-6, -9.309e-7, 2.414e-6, 1.358e-6, -1.056e-6
-0.096, 2.111e-6, 1.189e-6, -9.218e-7, 2.398e-6, 1.354e-6, -1.044e-6
-0.100, 2.087e-6, 1.185e-6, -9.021e-7, 2.368e-6, 1.345e-6, -1.023e-6
-0.104, 2.073e-6, 1.179e-6, -8.944e-7, 2.355e-6, 1.342e-6, -1.012e-6
-0.108, 2.052e-6, 1.176e-6, -8.758e-7, 2.328e-6, 1.334e-6, -9.932e-7
-0.112, 2.042e-6, 1.172e-6, -8.696e-7, 2.315e-6, 1.332e-6, -9.833e-7
-0.116, 2.022e-6, 1.169e-6, -8.528e-7, 2.290e-6, 1.325e-6, -9.656e-7
-0.120, 2.013e-6, 1.166e-6, -8.477e-7, 2.281e-6, 1.324e-6, -9.571e-7
-0.124, 1.996e-6, 1.165e-6, -8.309e-7, 2.257e-6, 1.317e-6, -9.399e-7
-0.128, 1.991e-6, 1.163e-6, -8.284e-7, 2.250e-6, 1.317e-6, -9.336e-7
-0.132, 1.975e-6, 1.163e-6, -8.112e-7, 2.228e-6, 1.312e-6, -9.159e-7
-0.136, 1.970e-6, 1.161e-6, -8.090e-7, 2.222e-6, 1.312e-6, -9.101e-7
-0.140, 1.958e-6, 1.162e-6, -7.961e-7, 2.203e-6, 1.306e-6, -8.967e-7
-0.144, 1.955e-6, 1.162e-6, -7.934e-7, 2.198e-6, 1.308e-6, -8.904e-7
-0.148, 1.944e-6, 1.163e-6, -7.809e-7, 2.180e-6, 1.304e-6, -8.767e-7
-0.152, 1.943e-6, 1.164e-6, -7.791e-7, 2.177e-6, 1.306e-6, -8.713e-7
-0.156, 1.933e-6, 1.166e-6, -7.668e-7, 2.160e-6, 1.302e-6, -8.588e-7
-0.160, 1.935e-6, 1.168e-6, -7.668e-7, 2.158e-6, 1.304e-6, -8.542e-7
-0.164, 1.926e-6, 1.172e-6, -7.542e-7, 2.144e-6, 1.302e-6, -8.420e-7
-0.168, 1.928e-6, 1.173e-6, -7.546e-7, 2.142e-6, 1.304e-6, -8.374e-7
-0.172, 1.921e-6, 1.179e-6, -7.424e-7, 2.128e-6, 1.303e-6, -8.251e-7
-0.176, 1.926e-6, 1.183e-6, -7.433e-7, 2.129e-6, 1.308e-6, -8.217e-7
-0.180, 1.921e-6, 1.189e-6, -7.324e-7, 2.117e-6, 1.306e-6, -8.108e-7
-0.184, 1.928e-6, 1.195e-6, -7.337e-7, 2.119e-6, 1.312e-6, -8.068e-7
-0.188, 1.924e-6, 1.201e-6, -7.222e-7, 2.107e-6, 1.312e-6, -7.955e-7
-0.192, 1.933e-6, 1.209e-6, -7.240e-7, 2.111e-6, 1.319e-6, -7.924e-7
-0.196, 1.930e-6, 1.217e-6, -7.130e-7, 2.100e-6, 1.319e-6, -7.809e-7
-0.200, 1.940e-6, 1.225e-6, -7.153e-7, 2.105e-6, 1.326e-6, -7.788e-7
-0.204, 1.939e-6, 1.235e-6, -7.038e-7, 2.096e-6, 1.329e-6, -7.671e-7
-0.208, 1.950e-6, 1.245e-6, -7.056e-7, 2.102e-6, 1.338e-6, -7.644e-7
-0.212, 1.953e-6, 1.257e-6, -6.958e-7, 2.096e-6, 1.341e-6, -7.545e-7
-0.216, 1.965e-6, 1.268e-6, -6.973e-7, 2.102e-6, 1.351e-6, -7.512e-7
-0.220, 1.967e-6, 1.281e-6, -6.861e-7, 2.095e-6, 1.355e-6, -7.398e-7
-0.224, 1.981e-6, 1.292e-6, -6.889e-7, 2.104e-6, 1.365e-6, -7.383e-7
-0.228, 1.985e-6, 1.309e-6, -6.761e-7, 2.098e-6, 1.373e-6, -7.252e-7
-0.232, 2.001e-6, 1.323e-6, -6.780e-7, 2.107e-6, 1.385e-6, -7.227e-7
-0.236, 2.005e-6, 1.338e-6, -6.669e-7, 2.101e-6, 1.390e-6, -7.115e-7
-0.240, 2.022e-6, 1.353e-6, -6.684e-7, 2.112e-6, 1.404e-6, -7.085e-7
-0.244, 2.029e-6, 1.372e-6, -6.571e-7, 2.109e-6, 1.412e-6, -6.971e-7
-0.248, 2.045e-6, 1.388e-6, -6.570e-7, 2.119e-6, 1.426e-6, -6.923e-7
-0.252, 2.050e-6, 1.406e-6, -6.444e-7, 2.115e-6, 1.435e-6, -6.802e-7
-0.256, 2.068e-6, 1.423e-6, -6.446e-7, 2.127e-6, 1.451e-6, -6.755e-7
-0.260, 2.075e-6, 1.442e-6, -6.326e-7, 2.125e-6, 1.461e-6, -6.639e-7
-0.264, 2.091e-6, 1.460e-6, -6.308e-7, 2.135e-6, 1.477e-6, -6.581e-7
-0.268, 2.096e-6, 1.479e-6, -6.170e-7, 2.133e-6, 1.488e-6, -6.443e-7
-0.272, 2.113e-6, 1.497e-6, -6.162e-7, 2.146e-6, 1.506e-6, -6.398e-7
-0.276, 2.117e-6, 1.517e-6, -5.998e-7, 2.141e-6, 1.517e-6, -6.241e-7
-0.280, 2.133e-6, 1.535e-6, -5.980e-7, 2.154e-6, 1.535e-6, -6.189e-7
-0.284, 2.135e-6, 1.554e-6, -5.813e-7, 2.151e-6, 1.548e-6, -6.026e-7
-0.288, 2.150e-6, 1.573e-6, -5.769e-7, 2.164e-6, 1.568e-6, -5.959e-7
-0.292, 2.152e-6, 1.593e-6, -5.593e-7, 2.162e-6, 1.581e-6, -5.806e-7
-0.296, 2.164e-6, 1.610e-6, -5.535e-7, 2.173e-6, 1.601e-6, -5.715e-7
-0.300, 2.164e-6, 1.631e-6, -5.328e-7, 2.170e-6, 1.616e-6, -5.537e-7
-0.304, 2.175e-6, 1.650e-6, -5.250e-7, 2.183e-6, 1.639e-6, -5.441e-7
-0.308, 2.174e-6, 1.671e-6, -5.036e-7, 2.180e-6, 1.655e-6, -5.258e-7
-0.312, 2.184e-6, 1.688e-6, -4.952e-7, 2.191e-6, 1.676e-6, -5.158e-7
-0.316, 2.179e-6, 1.708e-6, -4.709e-7, 2.188e-6, 1.692e-6, -4.960e-7
-0.320, 2.188e-6, 1.728e-6, -4.603e-7, 2.201e-6, 1.716e-6, -4.849e-7
-0.324, 2.183e-6, 1.749e-6, -4.336e-7, 2.197e-6, 1.734e-6, -4.632e-7
-0.328, 2.191e-6, 1.769e-6, -4.217e-7, 2.210e-6, 1.758e-6, -4.513e-7
-0.332, 2.185e-6, 1.791e-6, -3.947e-7, 2.206e-6, 1.777e-6, -4.292e-7
-0.336, 2.192e-6, 1.812e-6, -3.800e-7, 2.218e-6, 1.803e-6, -4.154e-7
-0.340, 2.186e-6, 1.834e-6, -3.526e-7, 2.216e-6, 1.822e-6, -3.937e-7
-0.344, 2.191e-6, 1.855e-6, -3.360e-7, 2.227e-6, 1.849e-6, -3.784e-7
-0.348, 2.186e-6, 1.878e-6, -3.077e-7, 2.226e-6, 1.869e-6, -3.566e-7
-0.352, 2.192e-6, 1.900e-6, -2.922e-7, 2.239e-6, 1.896e-6, -3.422e-7
-0.356, 2.184e-6, 1.923e-6, -2.609e-7, 2.235e-6, 1.918e-6, -3.172e-7
-0.360, 2.190e-6, 1.946e-6, -2.439e-7, 2.246e-6, 1.945e-6, -3.010e-7
-0.364, 2.185e-6, 1.971e-6, -2.139e-7, 2.245e-6, 1.968e-6, -2.772e-7
-0.368, 2.191e-6, 1.994e-6, -1.968e-7, 2.258e-6, 1.997e-6, -2.606e-7
-0.372, 2.184e-6, 2.018e-6, -1.653e-7, 2.255e-6, 2.019e-6, -2.361e-7
-0.376, 2.190e-6, 2.042e-6, -1.476e-7, 2.267e-6, 2.047e-6, -2.191e-7
