Sept. 28, 2023   14:40:38
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\90_0_3.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 90
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 6.690e-6, 1.353e-6, -5.336e-6, 7.531e-6, 1.526e-6, -6.005e-6
-0.008, 9.119e-6, 4.216e-6, -4.903e-6, 1.035e-5, 4.828e-6, -5.519e-6
-0.012, 8.975e-6, 4.280e-6, -4.695e-6, 1.021e-5, 4.902e-6, -5.304e-6
-0.016, 8.755e-6, 4.232e-6, -4.523e-6, 9.983e-6, 4.861e-6, -5.122e-6
-0.020, 8.577e-6, 4.182e-6, -4.394e-6, 9.786e-6, 4.804e-6, -4.982e-6
-0.024, 8.399e-6, 4.140e-6, -4.260e-6, 9.603e-6, 4.759e-6, -4.844e-6
-0.028, 8.203e-6, 4.073e-6, -4.131e-6, 9.406e-6, 4.696e-6, -4.710e-6
-0.032, 8.046e-6, 4.020e-6, -4.026e-6, 9.235e-6, 4.639e-6, -4.596e-6
-0.036, 7.903e-6, 3.982e-6, -3.922e-6, 9.085e-6, 4.596e-6, -4.489e-6
-0.040, 7.732e-6, 3.919e-6, -3.814e-6, 8.912e-6, 4.536e-6, -4.377e-6
-0.044, 7.610e-6, 3.877e-6, -3.734e-6, 8.772e-6, 4.486e-6, -4.286e-6
-0.048, 7.486e-6, 3.844e-6, -3.643e-6, 8.644e-6, 4.450e-6, -4.194e-6
-0.052, 7.345e-6, 3.789e-6, -3.556e-6, 8.502e-6, 4.398e-6, -4.104e-6
-0.056, 7.246e-6, 3.756e-6, -3.490e-6, 8.387e-6, 4.357e-6, -4.030e-6
-0.060, 7.148e-6, 3.729e-6, -3.419e-6, 8.285e-6, 4.328e-6, -3.957e-6
-0.064, 7.025e-6, 3.682e-6, -3.343e-6, 8.160e-6, 4.284e-6, -3.876e-6
-0.068, 6.949e-6, 3.656e-6, -3.294e-6, 8.071e-6, 4.252e-6, -3.819e-6
-0.072, 6.863e-6, 3.632e-6, -3.231e-6, 7.981e-6, 4.225e-6, -3.756e-6
-0.076, 6.765e-6, 3.596e-6, -3.168e-6, 7.881e-6, 4.191e-6, -3.691e-6
