Sept. 28, 2023   15:15:16
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\90_100_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 90
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 5.070e-6, 9.962e-7, -4.073e-6, 6.105e-6, 1.154e-6, -4.951e-6
-0.008, 6.787e-6, 3.057e-6, -3.730e-6, 8.326e-6, 3.787e-6, -4.540e-6
-0.012, 6.641e-6, 3.094e-6, -3.547e-6, 8.154e-6, 3.819e-6, -4.335e-6
-0.016, 6.432e-6, 3.042e-6, -3.390e-6, 7.924e-6, 3.765e-6, -4.159e-6
-0.020, 6.257e-6, 2.985e-6, -3.272e-6, 7.713e-6, 3.697e-6, -4.016e-6
-0.024, 6.091e-6, 2.941e-6, -3.151e-6, 7.519e-6, 3.637e-6, -3.882e-6
-0.028, 5.914e-6, 2.881e-6, -3.033e-6, 7.319e-6, 3.573e-6, -3.746e-6
-0.032, 5.764e-6, 2.827e-6, -2.938e-6, 7.138e-6, 3.507e-6, -3.631e-6
-0.036, 5.629e-6, 2.785e-6, -2.844e-6, 6.979e-6, 3.454e-6, -3.525e-6
-0.040, 5.472e-6, 2.729e-6, -2.742e-6, 6.807e-6, 3.396e-6, -3.411e-6
-0.044, 5.350e-6, 2.682e-6, -2.668e-6, 6.656e-6, 3.337e-6, -3.319e-6
-0.048, 5.242e-6, 2.651e-6, -2.591e-6, 6.526e-6, 3.295e-6, -3.231e-6
-0.052, 5.114e-6, 2.604e-6, -2.510e-6, 6.386e-6, 3.244e-6, -3.141e-6
