Sept. 28, 2023   14:40:24
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\90_0_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 90
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 5.913e-6, 1.197e-6, -4.716e-6, 6.696e-6, 1.356e-6, -5.340e-6
-0.008, 8.019e-6, 3.701e-6, -4.318e-6, 9.170e-6, 4.275e-6, -4.895e-6
-0.012, 7.875e-6, 3.740e-6, -4.135e-6, 9.015e-6, 4.319e-6, -4.696e-6
-0.016, 7.696e-6, 3.712e-6, -3.984e-6, 8.836e-6, 4.293e-6, -4.543e-6
-0.020, 7.511e-6, 3.660e-6, -3.852e-6, 8.639e-6, 4.240e-6, -4.398e-6
-0.024, 7.335e-6, 3.606e-6, -3.729e-6, 8.447e-6, 4.178e-6, -4.269e-6
-0.028, 7.180e-6, 3.559e-6, -3.621e-6, 8.290e-6, 4.132e-6, -4.158e-6
-0.032, 7.015e-6, 3.503e-6, -3.512e-6, 8.116e-6, 4.077e-6, -4.039e-6
-0.036, 6.870e-6, 3.453e-6, -3.417e-6, 7.956e-6, 4.020e-6, -3.936e-6
-0.040, 6.743e-6, 3.414e-6, -3.328e-6, 7.826e-6, 3.979e-6, -3.847e-6
-0.044, 6.607e-6, 3.368e-6, -3.239e-6, 7.681e-6, 3.931e-6, -3.750e-6
-0.048, 6.487e-6, 3.326e-6, -3.161e-6, 7.543e-6, 3.881e-6, -3.662e-6
-0.052, 6.385e-6, 3.292e-6, -3.093e-6, 7.443e-6, 3.848e-6, -3.595e-6
-0.056, 6.268e-6, 3.252e-6, -3.016e-6, 7.316e-6, 3.806e-6, -3.510e-6
-0.060, 6.172e-6, 3.217e-6, -2.955e-6, 7.206e-6, 3.763e-6, -3.443e-6
-0.064, 6.089e-6, 3.192e-6, -2.897e-6, 7.121e-6, 3.738e-6, -3.383e-6
-0.068, 5.993e-6, 3.158e-6, -2.835e-6, 7.018e-6, 3.703e-6, -3.315e-6
-0.072, 5.917e-6, 3.130e-6, -2.787e-6, 6.928e-6, 3.670e-6, -3.258e-6
-0.076, 5.855e-6, 3.115e-6, -2.740e-6, 6.867e-6, 3.653e-6, -3.214e-6
-0.080, 5.772e-6, 3.087e-6, -2.685e-6, 6.777e-6, 3.625e-6, -3.152e-6
-0.084, 5.712e-6, 3.063e-6, -2.649e-6, 6.700e-6, 3.591e-6, -3.109e-6
-0.088, 5.660e-6, 3.052e-6, -2.609e-6, 6.651e-6, 3.582e-6, -3.069e-6
-0.092, 5.603e-6, 3.034e-6, -2.568e-6, 6.585e-6, 3.563e-6, -3.022e-6
-0.096, 5.552e-6, 3.016e-6, -2.537e-6, 6.519e-6, 3.536e-6, -2.984e-6
-0.100, 5.514e-6, 3.006e-6, -2.507e-6, 6.482e-6, 3.527e-6, -2.956e-6
-0.104, 5.463e-6, 2.995e-6, -2.469e-6, 6.426e-6, 3.515e-6, -2.911e-6
-0.108, 5.425e-6, 2.980e-6, -2.445e-6, 6.374e-6, 3.492e-6, -2.882e-6
-0.112, 5.402e-6, 2.979e-6, -2.424e-6, 6.350e-6, 3.490e-6, -2.860e-6
-0.116, 5.367e-6, 2.970e-6, -2.396e-6, 6.305e-6, 3.479e-6, -2.826e-6
-0.120, 5.341e-6, 2.965e-6, -2.376e-6, 6.265e-6, 3.466e-6, -2.799e-6
-0.124, 5.323e-6, 2.966e-6, -2.357e-6, 6.247e-6, 3.464e-6, -2.783e-6
-0.128, 5.295e-6, 2.962e-6, -2.334e-6, 6.214e-6, 3.460e-6, -2.754e-6
-0.132, 5.281e-6, 2.960e-6, -2.321e-6, 6.181e-6, 3.448e-6, -2.734e-6
-0.136, 5.274e-6, 2.968e-6, -2.307e-6, 6.174e-6, 3.454e-6, -2.720e-6
-0.140, 5.257e-6, 2.968e-6, -2.289e-6, 6.146e-6, 3.452e-6, -2.694e-6
-0.144, 5.249e-6, 2.969e-6, -2.280e-6, 6.121e-6, 3.444e-6, -2.677e-6
-0.148, 5.251e-6, 2.981e-6, -2.270e-6, 6.124e-6, 3.454e-6, -2.670e-6
-0.152, 5.244e-6, 2.987e-6, -2.257e-6, 6.105e-6, 3.455e-6, -2.650e-6
-0.156, 5.245e-6, 2.993e-6, -2.252e-6, 6.089e-6, 3.452e-6, -2.637e-6
-0.160, 5.253e-6, 3.009e-6, -2.245e-6, 6.096e-6, 3.465e-6, -2.632e-6
-0.164, 5.255e-6, 3.019e-6, -2.236e-6, 6.085e-6, 3.471e-6, -2.615e-6
-0.168, 5.260e-6, 3.027e-6, -2.233e-6, 6.073e-6, 3.468e-6, -2.605e-6
-0.172, 5.285e-6, 3.052e-6, -2.233e-6, 6.091e-6, 3.485e-6, -2.606e-6
-0.176, 5.288e-6, 3.065e-6, -2.224e-6, 6.081e-6, 3.493e-6, -2.588e-6
-0.180, 5.307e-6, 3.080e-6, -2.227e-6, 6.082e-6, 3.498e-6, -2.583e-6
-0.184, 5.328e-6, 3.104e-6, -2.224e-6, 6.095e-6, 3.516e-6, -2.580e-6
-0.188, 5.341e-6, 3.121e-6, -2.220e-6, 6.094e-6, 3.526e-6, -2.568e-6
-0.192, 5.369e-6, 3.142e-6, -2.226e-6, 6.101e-6, 3.535e-6, -2.566e-6
-0.196, 5.404e-6, 3.173e-6, -2.231e-6, 6.128e-6, 3.558e-6, -2.570e-6
-0.200, 5.422e-6, 3.196e-6, -2.226e-6, 6.128e-6, 3.572e-6, -2.555e-6
-0.204, 5.454e-6, 3.221e-6, -2.234e-6, 6.138e-6, 3.582e-6, -2.557e-6
-0.208, 5.490e-6, 3.251e-6, -2.239e-6, 6.165e-6, 3.606e-6, -2.560e-6
-0.212, 5.518e-6, 3.280e-6, -2.238e-6, 6.176e-6, 3.626e-6, -2.551e-6
-0.216, 5.558e-6, 3.310e-6, -2.248e-6, 6.189e-6, 3.639e-6, -2.550e-6
-0.220, 5.600e-6, 3.346e-6, -2.255e-6, 6.221e-6, 3.665e-6, -2.557e-6
-0.224, 5.632e-6, 3.376e-6, -2.255e-6, 6.231e-6, 3.686e-6, -2.546e-6
-0.228, 5.676e-6, 3.411e-6, -2.266e-6, 6.251e-6, 3.703e-6, -2.548e-6
-0.232, 5.720e-6, 3.450e-6, -2.270e-6, 6.284e-6, 3.733e-6, -2.552e-6
-0.236, 5.753e-6, 3.480e-6, -2.273e-6, 6.295e-6, 3.753e-6, -2.543e-6
-0.240, 5.799e-6, 3.519e-6, -2.280e-6, 6.316e-6, 3.774e-6, -2.541e-6
-0.244, 5.850e-6, 3.560e-6, -2.289e-6, 6.355e-6, 3.807e-6, -2.548e-6
-0.248, 5.880e-6, 3.593e-6, -2.287e-6, 6.364e-6, 3.828e-6, -2.536e-6
-0.252, 5.927e-6, 3.630e-6, -2.297e-6, 6.389e-6, 3.851e-6, -2.538e-6
-0.256, 5.975e-6, 3.674e-6, -2.302e-6, 6.425e-6, 3.885e-6, -2.539e-6
-0.260, 6.007e-6, 3.707e-6, -2.300e-6, 6.442e-6, 3.911e-6, -2.531e-6
-0.264, 6.045e-6, 3.742e-6, -2.303e-6, 6.458e-6, 3.932e-6, -2.526e-6
-0.268, 6.092e-6, 3.784e-6, -2.308e-6, 6.497e-6, 3.967e-6, -2.530e-6
-0.272, 6.121e-6, 3.819e-6, -2.302e-6, 6.511e-6, 3.997e-6, -2.515e-6
-0.276, 6.158e-6, 3.855e-6, -2.303e-6, 6.530e-6, 4.022e-6, -2.509e-6
-0.280, 6.198e-6, 3.898e-6, -2.300e-6, 6.568e-6, 4.060e-6, -2.507e-6
-0.284, 6.217e-6, 3.928e-6, -2.290e-6, 6.577e-6, 4.087e-6, -2.490e-6
-0.288, 6.248e-6, 3.961e-6, -2.287e-6, 6.595e-6, 4.113e-6, -2.482e-6
-0.292, 6.283e-6, 4.001e-6, -2.282e-6, 6.634e-6, 4.153e-6, -2.481e-6
-0.296, 6.297e-6, 4.034e-6, -2.263e-6, 6.645e-6, 4.185e-6, -2.460e-6
-0.300, 6.323e-6, 4.068e-6, -2.255e-6, 6.659e-6, 4.212e-6, -2.448e-6
-0.304, 6.348e-6, 4.107e-6, -2.241e-6, 6.692e-6, 4.253e-6, -2.439e-6
-0.308, 6.355e-6, 4.138e-6, -2.217e-6, 6.704e-6, 4.288e-6, -2.417e-6
-0.312, 6.367e-6, 4.168e-6, -2.199e-6, 6.715e-6, 4.315e-6, -2.399e-6
-0.316, 6.387e-6, 4.207e-6, -2.179e-6, 6.748e-6, 4.360e-6, -2.388e-6
-0.320, 6.390e-6, 4.238e-6, -2.152e-6, 6.756e-6, 4.395e-6, -2.361e-6
-0.324, 6.401e-6, 4.271e-6, -2.129e-6, 6.769e-6, 4.427e-6, -2.342e-6
-0.328, 6.414e-6, 4.311e-6, -2.104e-6, 6.800e-6, 4.473e-6, -2.327e-6
-0.332, 6.416e-6, 4.345e-6, -2.071e-6, 6.809e-6, 4.514e-6, -2.296e-6
-0.336, 6.422e-6, 4.379e-6, -2.043e-6, 6.822e-6, 4.546e-6, -2.276e-6
-0.340, 6.431e-6, 4.418e-6, -2.013e-6, 6.854e-6, 4.596e-6, -2.257e-6
-0.344, 6.427e-6, 4.455e-6, -1.972e-6, 6.860e-6, 4.639e-6, -2.221e-6
-0.348, 6.432e-6, 4.489e-6, -1.943e-6, 6.873e-6, 4.674e-6, -2.199e-6
-0.352, 6.443e-6, 4.533e-6, -1.910e-6, 6.901e-6, 4.725e-6, -2.176e-6
-0.356, 6.437e-6, 4.569e-6, -1.868e-6, 6.908e-6, 4.768e-6, -2.140e-6
-0.360, 6.441e-6, 4.606e-6, -1.835e-6, 6.916e-6, 4.803e-6, -2.113e-6
-0.364, 6.452e-6, 4.652e-6, -1.800e-6, 6.951e-6, 4.859e-6, -2.092e-6
-0.368, 6.443e-6, 4.688e-6, -1.755e-6, 6.955e-6, 4.903e-6, -2.052e-6
-0.372, 6.451e-6, 4.730e-6, -1.721e-6, 6.968e-6, 4.945e-6, -2.023e-6
-0.376, 6.456e-6, 4.776e-6, -1.680e-6, 6.992e-6, 4.998e-6, -1.994e-6
-0.380, 6.456e-6, 4.817e-6, -1.639e-6, 7.002e-6, 5.045e-6, -1.957e-6
-0.384, 6.457e-6, 4.855e-6, -1.602e-6, 7.008e-6, 5.083e-6, -1.925e-6
-0.388, 6.467e-6, 4.905e-6, -1.562e-6, 7.036e-6, 5.140e-6, -1.896e-6
-0.392, 6.462e-6, 4.947e-6, -1.515e-6, 7.041e-6, 5.188e-6, -1.853e-6
-0.396, 6.467e-6, 4.988e-6, -1.480e-6, 7.052e-6, 5.229e-6, -1.822e-6
-0.400, 6.475e-6, 5.037e-6, -1.439e-6, 7.075e-6, 5.284e-6, -1.790e-6
-0.404, 6.474e-6, 5.079e-6, -1.396e-6, 7.083e-6, 5.333e-6, -1.750e-6
-0.408, 6.479e-6, 5.122e-6, -1.357e-6, 7.089e-6, 5.376e-6, -1.714e-6
-0.412, 6.491e-6, 5.173e-6, -1.319e-6, 7.118e-6, 5.432e-6, -1.687e-6
-0.416, 6.489e-6, 5.218e-6, -1.271e-6, 7.123e-6, 5.483e-6, -1.641e-6
-0.420, 6.494e-6, 5.260e-6, -1.234e-6, 7.131e-6, 5.525e-6, -1.606e-6
-0.424, 6.507e-6, 5.310e-6, -1.197e-6, 7.155e-6, 5.579e-6, -1.576e-6
-0.428, 6.502e-6, 5.353e-6, -1.149e-6, 7.160e-6, 5.629e-6, -1.531e-6
-0.432, 6.508e-6, 5.396e-6, -1.112e-6, 7.165e-6, 5.671e-6, -1.494e-6
-0.436, 6.521e-6, 5.447e-6, -1.074e-6, 7.191e-6, 5.727e-6, -1.464e-6
-0.440, 6.518e-6, 5.490e-6, -1.028e-6, 7.194e-6, 5.775e-6, -1.419e-6
-0.444, 6.526e-6, 5.534e-6, -9.921e-7, 7.204e-6, 5.819e-6, -1.385e-6
-0.448, 6.535e-6, 5.581e-6, -9.536e-7, 7.224e-6, 5.871e-6, -1.353e-6
-0.452, 6.538e-6, 5.627e-6, -9.106e-7, 7.232e-6, 5.922e-6, -1.310e-6
-0.456, 6.545e-6, 5.670e-6, -8.746e-7, 7.237e-6, 5.963e-6, -1.274e-6
-0.460, 6.557e-6, 5.722e-6, -8.346e-7, 7.260e-6, 6.019e-6, -1.241e-6
-0.464, 6.552e-6, 5.760e-6, -7.920e-7, 7.262e-6, 6.064e-6, -1.198e-6
-0.468, 6.561e-6, 5.803e-6, -7.581e-7, 7.271e-6, 6.105e-6, -1.165e-6
-0.472, 6.575e-6, 5.853e-6, -7.217e-7, 7.296e-6, 6.161e-6, -1.135e-6
-0.476, 6.577e-6, 5.895e-6, -6.820e-7, 7.302e-6, 6.207e-6, -1.095e-6
-0.480, 6.584e-6, 5.938e-6, -6.466e-7, 7.305e-6, 6.247e-6, -1.058e-6
-0.484, 6.602e-6, 5.987e-6, -6.156e-7, 7.334e-6, 6.301e-6, -1.033e-6
-0.488, 6.601e-6, 6.028e-6, -5.738e-7, 7.339e-6, 6.347e-6, -9.918e-7
-0.492, 6.614e-6, 6.071e-6, -5.423e-7, 7.349e-6, 6.388e-6, -9.608e-7
-0.496, 6.627e-6, 6.117e-6, -5.100e-7, 7.375e-6, 6.441e-6, -9.342e-7
-0.500, 6.629e-6, 6.158e-6, -4.710e-7, 7.382e-6, 6.487e-6, -8.947e-7
-0.504, 6.642e-6, 6.201e-6, -4.417e-7, 7.392e-6, 6.527e-6, -8.644e-7
-0.508, 6.661e-6, 6.248e-6, -4.126e-7, 7.423e-6, 6.579e-6, -8.433e-7
-0.512, 6.664e-6, 6.287e-6, -3.771e-7, 7.427e-6, 6.622e-6, -8.043e-7
-0.516, 6.677e-6, 6.328e-6, -3.484e-7, 7.437e-6, 6.661e-6, -7.755e-7
-0.520, 6.695e-6, 6.377e-6, -3.186e-7, 7.467e-6, 6.715e-6, -7.525e-7
-0.524, 6.704e-6, 6.416e-6, -2.871e-7, 7.481e-6, 6.760e-6, -7.209e-7
-0.528, 6.721e-6, 6.459e-6, -2.615e-7, 7.495e-6, 6.799e-6, -6.955e-7
-0.532, 6.740e-6, 6.504e-6, -2.363e-7, 7.527e-6, 6.850e-6, -6.765e-7
-0.536, 6.752e-6, 6.544e-6, -2.077e-7, 7.540e-6, 6.895e-6, -6.445e-7
-0.540, 6.768e-6, 6.585e-6, -1.829e-7, 7.554e-6, 6.932e-6, -6.215e-7
-0.544, 6.795e-6, 6.636e-6, -1.596e-7, 7.592e-6, 6.988e-6, -6.035e-7
-0.548, 6.804e-6, 6.674e-6, -1.307e-7, 7.608e-6, 7.032e-6, -5.757e-7
-0.552, 6.828e-6, 6.719e-6, -1.088e-7, 7.628e-6, 7.075e-6, -5.530e-7
-0.556, 6.854e-6, 6.766e-6, -8.849e-8, 7.667e-6, 7.129e-6, -5.384e-7
-0.560, 6.870e-6, 6.809e-6, -6.185e-8, 7.686e-6, 7.175e-6, -5.115e-7
-0.564, 6.894e-6, 6.851e-6, -4.353e-8, 7.707e-6, 7.213e-6, -4.931e-7
-0.568, 6.929e-6, 6.902e-6, -2.662e-8, 7.751e-6, 7.270e-6, -4.809e-7
-0.572, 6.945e-6, 6.943e-6, -1.503e-9, 7.773e-6, 7.316e-6, -4.571e-7
-0.576, 6.975e-6, 6.989e-6, 1.449e-8, 7.801e-6, 7.360e-6, -4.413e-7
-0.580, 7.010e-6, 7.038e-6, 2.776e-8, 7.852e-6, 7.416e-6, -4.357e-7
-0.584, 7.031e-6, 7.082e-6, 5.099e-8, 7.875e-6, 7.464e-6, -4.108e-7
-0.588, 7.070e-6, 7.132e-6, 6.168e-8, 7.909e-6, 7.510e-6, -3.983e-7
-0.592, 7.108e-6, 7.185e-6, 7.691e-8, 7.961e-6, 7.569e-6, -3.927e-7
-0.596, 7.135e-6, 7.230e-6, 9.484e-8, 7.992e-6, 7.618e-6, -3.741e-7
-0.600, 7.166e-6, 7.276e-6, 1.095e-7, 8.024e-6, 7.665e-6, -3.594e-7
-0.604, 7.213e-6, 7.331e-6, 1.181e-7, 8.086e-6, 7.727e-6, -3.595e-7
-0.608, 7.243e-6, 7.379e-6, 1.365e-7, 8.119e-6, 7.780e-6, -3.389e-7
-0.612, 7.289e-6, 7.432e-6, 1.425e-7, 8.163e-6, 7.829e-6, -3.340e-7
-0.616, 7.334e-6, 7.486e-6, 1.517e-7, 8.221e-6, 7.890e-6, -3.312e-7
