Sept. 28, 2023   15:12:30
Square Wave Voltammetry
File: 80_100_
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 80
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 5.863e-6, 1.051e-6, -4.812e-6, 6.920e-6, 1.205e-6, -5.715e-6
-0.008, 8.191e-6, 3.761e-6, -4.430e-6, 9.790e-6, 4.521e-6, -5.269e-6
-0.012, 8.024e-6, 3.790e-6, -4.234e-6, 9.599e-6, 4.549e-6, -5.050e-6
-0.016, 7.804e-6, 3.728e-6, -4.077e-6, 9.356e-6, 4.480e-6, -4.876e-6
-0.020, 7.587e-6, 3.661e-6, -3.926e-6, 9.111e-6, 4.405e-6, -4.705e-6
-0.024, 7.400e-6, 3.594e-6, -3.806e-6, 8.886e-6, 4.325e-6, -4.561e-6
-0.028, 7.216e-6, 3.534e-6, -3.682e-6, 8.675e-6, 4.253e-6, -4.422e-6
-0.032, 7.037e-6, 3.469e-6, -3.568e-6, 8.478e-6, 4.181e-6, -4.297e-6
-0.036, 6.859e-6, 3.403e-6, -3.456e-6, 8.276e-6, 4.108e-6, -4.168e-6
-0.040, 6.709e-6, 3.344e-6, -3.365e-6, 8.095e-6, 4.037e-6, -4.059e-6
-0.044, 6.567e-6, 3.297e-6, -3.270e-6, 7.931e-6, 3.979e-6, -3.952e-6
-0.048, 6.425e-6, 3.243e-6, -3.182e-6, 7.774e-6, 3.920e-6, -3.854e-6
-0.052, 6.280e-6, 3.190e-6, -3.091e-6, 7.611e-6, 3.861e-6, -3.750e-6
-0.056, 6.167e-6, 3.143e-6, -3.025e-6, 7.471e-6, 3.802e-6, -3.669e-6
-0.060, 6.059e-6, 3.108e-6, -2.951e-6, 7.344e-6, 3.759e-6, -3.586e-6
-0.064, 5.951e-6, 3.066e-6, -2.884e-6, 7.226e-6, 3.713e-6, -3.512e-6
-0.068, 5.838e-6, 3.026e-6, -2.812e-6, 7.097e-6, 3.668e-6, -3.429e-6
-0.072, 5.753e-6, 2.988e-6, -2.764e-6, 6.989e-6, 3.621e-6, -3.368e-6
-0.076, 5.671e-6, 2.965e-6, -2.705e-6, 6.889e-6, 3.589e-6, -3.300e-6
-0.080, 5.585e-6, 2.931e-6, -2.654e-6, 6.797e-6, 3.552e-6, -3.245e-6
-0.084, 5.499e-6, 2.900e-6, -2.599e-6, 6.697e-6, 3.517e-6, -3.180e-6
-0.088, 5.439e-6, 2.875e-6, -2.565e-6, 6.617e-6, 3.483e-6, -3.135e-6
-0.092, 5.379e-6, 2.860e-6, -2.519e-6, 6.543e-6, 3.460e-6, -3.083e-6
-0.096, 5.315e-6, 2.836e-6, -2.479e-6, 6.472e-6, 3.433e-6, -3.039e-6
-0.100, 5.249e-6, 2.814e-6, -2.435e-6, 6.393e-6, 3.407e-6, -2.986e-6
-0.104, 5.207e-6, 2.796e-6, -2.411e-6, 6.332e-6, 3.380e-6, -2.952e-6
-0.108, 5.163e-6, 2.786e-6, -2.377e-6, 6.276e-6, 3.364e-6, -2.912e-6
-0.112, 5.118e-6, 2.771e-6, -2.347e-6, 6.225e-6, 3.345e-6, -2.880e-6
-0.116, 5.070e-6, 2.756e-6, -2.314e-6, 6.166e-6, 3.327e-6, -2.838e-6
-0.120, 5.044e-6, 2.744e-6, -2.299e-6, 6.119e-6, 3.306e-6, -2.813e-6
-0.124, 5.016e-6, 2.744e-6, -2.272e-6, 6.080e-6, 3.298e-6, -2.782e-6
-0.128, 4.983e-6, 2.733e-6, -2.250e-6, 6.044e-6, 3.286e-6, -2.757e-6
-0.132, 4.946e-6, 2.725e-6, -2.221e-6, 5.995e-6, 3.273e-6, -2.722e-6
-0.136, 4.936e-6, 2.721e-6, -2.216e-6, 5.966e-6, 3.260e-6, -2.706e-6
-0.140, 4.923e-6, 2.727e-6, -2.196e-6, 5.939e-6, 3.258e-6, -2.681e-6
-0.144, 4.903e-6, 2.722e-6, -2.181e-6, 5.914e-6, 3.250e-6, -2.664e-6
-0.148, 4.880e-6, 2.720e-6, -2.160e-6, 5.881e-6, 3.244e-6, -2.637e-6
-0.152, 4.880e-6, 2.721e-6, -2.159e-6, 5.861e-6, 3.235e-6, -2.626e-6
-0.156, 4.879e-6, 2.733e-6, -2.146e-6, 5.848e-6, 3.240e-6, -2.608e-6
-0.160, 4.871e-6, 2.734e-6, -2.137e-6, 5.834e-6, 3.237e-6, -2.597e-6
-0.164, 4.858e-6, 2.737e-6, -2.121e-6, 5.808e-6, 3.235e-6, -2.573e-6
-0.168, 4.869e-6, 2.744e-6, -2.125e-6, 5.798e-6, 3.230e-6, -2.568e-6
-0.172, 4.879e-6, 2.761e-6, -2.118e-6, 5.794e-6, 3.239e-6, -2.555e-6
-0.176, 4.878e-6, 2.768e-6, -2.110e-6, 5.788e-6, 3.241e-6, -2.547e-6
-0.180, 4.877e-6, 2.776e-6, -2.101e-6, 5.772e-6, 3.243e-6, -2.529e-6
