Sept. 28, 2023   14:39:10
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\80_0_2.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 80
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:
Ep = -0.304V
ip = 3.798e-7A
Ap = 4.468e-8VA

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 6.511e-6, 1.218e-6, -5.293e-6, 7.263e-6, 1.369e-6, -5.894e-6
-0.008, 9.207e-6, 4.325e-6, -4.882e-6, 1.032e-5, 4.883e-6, -5.441e-6
-0.012, 9.068e-6, 4.367e-6, -4.701e-6, 1.018e-5, 4.932e-6, -5.247e-6
-0.016, 8.881e-6, 4.330e-6, -4.551e-6, 9.987e-6, 4.895e-6, -5.091e-6
-0.020, 8.681e-6, 4.272e-6, -4.409e-6, 9.786e-6, 4.841e-6, -4.945e-6
-0.024, 8.506e-6, 4.218e-6, -4.289e-6, 9.603e-6, 4.786e-6, -4.817e-6
-0.028, 8.342e-6, 4.163e-6, -4.179e-6, 9.426e-6, 4.727e-6, -4.700e-6
-0.032, 8.189e-6, 4.113e-6, -4.075e-6, 9.271e-6, 4.676e-6, -4.595e-6
-0.036, 8.025e-6, 4.056e-6, -3.969e-6, 9.105e-6, 4.620e-6, -4.485e-6
-0.040, 7.886e-6, 4.007e-6, -3.879e-6, 8.956e-6, 4.569e-6, -4.386e-6
-0.044, 7.759e-6, 3.961e-6, -3.798e-6, 8.815e-6, 4.516e-6, -4.300e-6
-0.048, 7.643e-6, 3.924e-6, -3.719e-6, 8.696e-6, 4.478e-6, -4.218e-6
-0.052, 7.510e-6, 3.875e-6, -3.635e-6, 8.566e-6, 4.432e-6, -4.134e-6
-0.056, 7.403e-6, 3.837e-6, -3.567e-6, 8.449e-6, 4.391e-6, -4.058e-6
-0.060, 7.307e-6, 3.802e-6, -3.505e-6, 8.341e-6, 4.349e-6, -3.991e-6
-0.064, 7.222e-6, 3.775e-6, -3.447e-6, 8.251e-6, 4.321e-6, -3.930e-6
-0.068, 7.119e-6, 3.738e-6, -3.382e-6, 8.150e-6, 4.286e-6, -3.864e-6
-0.072, 7.036e-6, 3.709e-6, -3.327e-6, 8.057e-6, 4.254e-6, -3.803e-6
-0.076, 6.965e-6, 3.682e-6, -3.283e-6, 7.975e-6, 4.221e-6, -3.753e-6
-0.080, 6.901e-6, 3.665e-6, -3.236e-6, 7.909e-6, 4.203e-6, -3.706e-6
-0.084, 6.820e-6, 3.635e-6, -3.185e-6, 7.826e-6, 4.174e-6, -3.652e-6
-0.088, 6.761e-6, 3.616e-6, -3.144e-6, 7.757e-6, 4.151e-6, -3.605e-6
-0.092, 6.709e-6, 3.597e-6, -3.112e-6, 7.693e-6, 4.126e-6, -3.567e-6
-0.096, 6.664e-6, 3.589e-6, -3.075e-6, 7.645e-6, 4.116e-6, -3.529e-6
-0.100, 6.602e-6, 3.566e-6, -3.035e-6, 7.582e-6, 4.094e-6, -3.488e-6
-0.104, 6.558e-6, 3.555e-6, -3.003e-6, 7.529e-6, 4.078e-6, -3.451e-6
-0.108, 6.523e-6, 3.543e-6, -2.980e-6, 7.479e-6, 4.059e-6, -3.420e-6
-0.112, 6.495e-6, 3.540e-6, -2.955e-6, 7.446e-6, 4.052e-6, -3.394e-6
-0.116, 6.449e-6, 3.525e-6, -2.923e-6, 7.399e-6, 4.038e-6, -3.361e-6
-0.120, 6.419e-6, 3.519e-6, -2.900e-6, 7.358e-6, 4.027e-6, -3.332e-6
-0.124, 6.395e-6, 3.512e-6, -2.884e-6, 7.321e-6, 4.013e-6, -3.308e-6
-0.128, 6.380e-6, 3.515e-6, -2.864e-6, 7.299e-6, 4.012e-6, -3.287e-6
-0.132, 6.347e-6, 3.507e-6, -2.840e-6, 7.263e-6, 4.003e-6, -3.260e-6
-0.136, 6.332e-6, 3.508e-6, -2.824e-6, 7.235e-6, 3.998e-6, -3.238e-6
-0.140, 6.321e-6, 3.507e-6, -2.814e-6, 7.208e-6, 3.988e-6, -3.220e-6
-0.144, 6.315e-6, 3.516e-6, -2.799e-6, 7.196e-6, 3.992e-6, -3.204e-6
-0.148, 6.293e-6, 3.512e-6, -2.781e-6, 7.170e-6, 3.986e-6, -3.184e-6
-0.152, 6.287e-6, 3.518e-6, -2.768e-6, 7.148e-6, 3.985e-6, -3.163e-6
-0.156, 6.290e-6, 3.525e-6, -2.765e-6, 7.132e-6, 3.981e-6, -3.151e-6
-0.160, 6.296e-6, 3.539e-6, -2.757e-6, 7.128e-6, 3.988e-6, -3.141e-6
-0.164, 6.286e-6, 3.542e-6, -2.744e-6, 7.114e-6, 3.989e-6, -3.125e-6
-0.168, 6.286e-6, 3.551e-6, -2.735e-6, 7.098e-6, 3.989e-6, -3.109e-6
-0.172, 6.296e-6, 3.562e-6, -2.734e-6, 7.087e-6, 3.988e-6, -3.099e-6
-0.176, 6.312e-6, 3.581e-6, -2.731e-6, 7.091e-6, 3.999e-6, -3.092e-6
-0.180, 6.310e-6, 3.589e-6, -2.721e-6, 7.080e-6, 4.002e-6, -3.079e-6
-0.184, 6.321e-6, 3.604e-6, -2.717e-6, 7.072e-6, 4.007e-6, -3.065e-6
-0.188, 6.341e-6, 3.621e-6, -2.719e-6, 7.071e-6, 4.012e-6, -3.059e-6
-0.192, 6.365e-6, 3.646e-6, -2.719e-6, 7.081e-6, 4.026e-6, -3.055e-6
-0.196, 6.369e-6, 3.659e-6, -2.711e-6, 7.075e-6, 4.032e-6, -3.042e-6
-0.200, 6.389e-6, 3.678e-6, -2.710e-6, 7.074e-6, 4.042e-6, -3.032e-6
-0.204, 6.416e-6, 3.701e-6, -2.715e-6, 7.074e-6, 4.047e-6, -3.027e-6
-0.208, 6.447e-6, 3.731e-6, -2.717e-6, 7.091e-6, 4.066e-6, -3.025e-6
-0.212, 6.460e-6, 3.747e-6, -2.713e-6, 7.090e-6, 4.075e-6, -3.016e-6
-0.216, 6.487e-6, 3.774e-6, -2.713e-6, 7.095e-6, 4.089e-6, -3.006e-6
-0.220, 6.518e-6, 3.800e-6, -2.719e-6, 7.100e-6, 4.098e-6, -3.002e-6
-0.224, 6.554e-6, 3.833e-6, -2.720e-6, 7.118e-6, 4.119e-6, -2.999e-6
-0.228, 6.572e-6, 3.856e-6, -2.716e-6, 7.122e-6, 4.132e-6, -2.989e-6
-0.232, 6.601e-6, 3.885e-6, -2.716e-6, 7.128e-6, 4.148e-6, -2.980e-6
-0.236, 6.639e-6, 3.914e-6, -2.724e-6, 7.138e-6, 4.160e-6, -2.978e-6
-0.240, 6.675e-6, 3.951e-6, -2.725e-6, 7.158e-6, 4.184e-6, -2.974e-6
-0.244, 6.694e-6, 3.975e-6, -2.719e-6, 7.163e-6, 4.200e-6, -2.963e-6
-0.248, 6.724e-6, 4.005e-6, -2.719e-6, 7.171e-6, 4.217e-6, -2.953e-6
-0.252, 6.758e-6, 4.033e-6, -2.725e-6, 7.180e-6, 4.230e-6, -2.950e-6
-0.256, 6.795e-6, 4.070e-6, -2.725e-6, 7.199e-6, 4.255e-6, -2.944e-6
-0.260, 6.812e-6, 4.095e-6, -2.717e-6, 7.207e-6, 4.274e-6, -2.933e-6
-0.264, 6.833e-6, 4.123e-6, -2.710e-6, 7.210e-6, 4.292e-6, -2.918e-6
-0.268, 6.863e-6, 4.152e-6, -2.711e-6, 7.219e-6, 4.307e-6, -2.911e-6
-0.272, 6.896e-6, 4.189e-6, -2.707e-6, 7.241e-6, 4.338e-6, -2.903e-6
-0.276, 6.903e-6, 4.209e-6, -2.694e-6, 7.243e-6, 4.354e-6, -2.889e-6
-0.280, 6.920e-6, 4.238e-6, -2.682e-6, 7.247e-6, 4.376e-6, -2.871e-6
-0.284, 6.943e-6, 4.265e-6, -2.679e-6, 7.257e-6, 4.394e-6, -2.863e-6
