Sept. 28, 2023   14:56:56
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\80_10_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 80
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 5.615e-6, 1.020e-6, -4.594e-6, 6.805e-6, 1.187e-6, -5.618e-6
-0.008, 7.883e-6, 3.656e-6, -4.227e-6, 9.763e-6, 4.569e-6, -5.194e-6
-0.012, 7.717e-6, 3.672e-6, -4.045e-6, 9.583e-6, 4.592e-6, -4.991e-6
-0.016, 7.517e-6, 3.620e-6, -3.897e-6, 9.349e-6, 4.529e-6, -4.820e-6
-0.020, 7.334e-6, 3.563e-6, -3.771e-6, 9.129e-6, 4.458e-6, -4.671e-6
-0.024, 7.162e-6, 3.511e-6, -3.651e-6, 8.935e-6, 4.396e-6, -4.539e-6
-0.028, 6.977e-6, 3.444e-6, -3.533e-6, 8.729e-6, 4.322e-6, -4.407e-6
-0.032, 6.818e-6, 3.387e-6, -3.431e-6, 8.542e-6, 4.255e-6, -4.287e-6
-0.036, 6.673e-6, 3.334e-6, -3.339e-6, 8.365e-6, 4.188e-6, -4.177e-6
-0.040, 6.537e-6, 3.288e-6, -3.249e-6, 8.212e-6, 4.133e-6, -4.079e-6
-0.044, 6.390e-6, 3.232e-6, -3.158e-6, 8.048e-6, 4.073e-6, -3.976e-6
-0.048, 6.268e-6, 3.187e-6, -3.080e-6, 7.903e-6, 4.019e-6, -3.883e-6
-0.052, 6.156e-6, 3.145e-6, -3.010e-6, 7.764e-6, 3.965e-6, -3.799e-6
-0.056, 6.053e-6, 3.111e-6, -2.942e-6, 7.648e-6, 3.925e-6, -3.723e-6
-0.060, 5.940e-6, 3.069e-6, -2.871e-6, 7.522e-6, 3.879e-6, -3.644e-6
-0.064, 5.844e-6, 3.034e-6, -2.810e-6, 7.406e-6, 3.836e-6, -3.571e-6
-0.068, 5.763e-6, 3.003e-6, -2.760e-6, 7.303e-6, 3.794e-6, -3.509e-6
-0.072, 5.690e-6, 2.982e-6, -2.708e-6, 7.218e-6, 3.768e-6, -3.450e-6
-0.076, 5.601e-6, 2.947e-6, -2.653e-6, 7.120e-6, 3.731e-6, -3.390e-6
-0.080, 5.532e-6, 2.923e-6, -2.610e-6, 7.032e-6, 3.698e-6, -3.334e-6
-0.084, 5.475e-6, 2.902e-6, -2.573e-6, 6.956e-6, 3.669e-6, -3.287e-6
-0.088, 5.423e-6, 2.890e-6, -2.533e-6, 6.894e-6, 3.650e-6, -3.244e-6
-0.092, 5.355e-6, 2.863e-6, -2.492e-6, 6.819e-6, 3.623e-6, -3.196e-6
-0.096, 5.306e-6, 2.848e-6, -2.458e-6, 6.754e-6, 3.601e-6, -3.152e-6
-0.100, 5.267e-6, 2.836e-6, -2.432e-6, 6.695e-6, 3.579e-6, -3.116e-6
-0.104, 5.235e-6, 2.830e-6, -2.406e-6, 6.655e-6, 3.569e-6, -3.087e-6
-0.108, 5.185e-6, 2.814e-6, -2.371e-6, 6.600e-6, 3.552e-6, -3.048e-6
-0.112, 5.156e-6, 2.807e-6, -2.349e-6, 6.556e-6, 3.539e-6, -3.017e-6
-0.116, 5.135e-6, 2.802e-6, -2.333e-6, 6.516e-6, 3.525e-6, -2.991e-6
-0.120, 5.118e-6, 2.804e-6, -2.314e-6, 6.490e-6, 3.521e-6, -2.969e-6
-0.124, 5.083e-6, 2.795e-6, -2.288e-6, 6.451e-6, 3.511e-6, -2.940e-6
-0.128, 5.065e-6, 2.792e-6, -2.273e-6, 6.419e-6, 3.503e-6, -2.916e-6
-0.132, 5.059e-6, 2.795e-6, -2.264e-6, 6.396e-6, 3.496e-6, -2.900e-6
-0.136, 5.054e-6, 2.804e-6, -2.250e-6, 6.383e-6, 3.499e-6, -2.883e-6
-0.140, 5.033e-6, 2.800e-6, -2.234e-6, 6.358e-6, 3.495e-6, -2.863e-6
-0.144, 5.030e-6, 2.806e-6, -2.225e-6, 6.339e-6, 3.493e-6, -2.845e-6
-0.148, 5.033e-6, 2.813e-6, -2.220e-6, 6.323e-6, 3.490e-6, -2.833e-6
-0.152, 5.042e-6, 2.828e-6, -2.214e-6, 6.325e-6, 3.500e-6, -2.825e-6
-0.156, 5.033e-6, 2.831e-6, -2.202e-6, 6.309e-6, 3.501e-6, -2.809e-6
-0.160, 5.041e-6, 2.841e-6, -2.200e-6, 6.304e-6, 3.505e-6, -2.799e-6
-0.164, 5.056e-6, 2.855e-6, -2.200e-6, 6.299e-6, 3.508e-6, -2.791e-6
-0.168, 5.075e-6, 2.876e-6, -2.199e-6, 6.309e-6, 3.521e-6, -2.788e-6
-0.172, 5.075e-6, 2.883e-6, -2.192e-6, 6.302e-6, 3.526e-6, -2.776e-6
-0.176, 5.093e-6, 2.902e-6, -2.191e-6, 6.303e-6, 3.536e-6, -2.767e-6
-0.180, 5.117e-6, 2.919e-6, -2.198e-6, 6.307e-6, 3.542e-6, -2.765e-6
-0.184, 5.147e-6, 2.946e-6, -2.200e-6, 6.327e-6, 3.562e-6, -2.766e-6
-0.188, 5.160e-6, 2.961e-6, -2.198e-6, 6.331e-6, 3.572e-6, -2.759e-6
-0.192, 5.186e-6, 2.983e-6, -2.203e-6, 6.339e-6, 3.584e-6, -2.755e-6
-0.196, 5.219e-6, 3.007e-6, -2.212e-6, 6.349e-6, 3.595e-6, -2.755e-6
-0.200, 5.256e-6, 3.039e-6, -2.217e-6, 6.375e-6, 3.618e-6, -2.757e-6
-0.204, 5.274e-6, 3.058e-6, -2.217e-6, 6.382e-6, 3.631e-6, -2.752e-6
-0.208, 5.307e-6, 3.085e-6, -2.222e-6, 6.396e-6, 3.647e-6, -2.749e-6
-0.212, 5.349e-6, 3.113e-6, -2.235e-6, 6.413e-6, 3.661e-6, -2.751e-6
-0.216, 5.393e-6, 3.150e-6, -2.244e-6, 6.443e-6, 3.687e-6, -2.756e-6
-0.220, 5.416e-6, 3.170e-6, -2.246e-6, 6.455e-6, 3.702e-6, -2.754e-6
-0.224, 5.454e-6, 3.201e-6, -2.253e-6, 6.471e-6, 3.721e-6, -2.750e-6
-0.228, 5.500e-6, 3.233e-6, -2.267e-6, 6.494e-6, 3.738e-6, -2.756e-6
-0.232, 5.544e-6, 3.269e-6, -2.276e-6, 6.524e-6, 3.764e-6, -2.760e-6
-0.236, 5.569e-6, 3.293e-6, -2.276e-6, 6.539e-6, 3.783e-6, -2.756e-6
-0.240, 5.608e-6, 3.325e-6, -2.283e-6, 6.556e-6, 3.803e-6, -2.753e-6
-0.244, 5.653e-6, 3.357e-6, -2.295e-6, 6.579e-6, 3.822e-6, -2.757e-6
-0.248, 5.696e-6, 3.396e-6, -2.300e-6, 6.610e-6, 3.851e-6, -2.759e-6
-0.252, 5.719e-6, 3.420e-6, -2.298e-6, 6.624e-6, 3.871e-6, -2.753e-6
-0.256, 5.754e-6, 3.452e-6, -2.303e-6, 6.642e-6, 3.893e-6, -2.749e-6
-0.260, 5.791e-6, 3.481e-6, -2.310e-6, 6.660e-6, 3.911e-6, -2.749e-6
-0.264, 5.832e-6, 3.521e-6, -2.311e-6, 6.692e-6, 3.944e-6, -2.749e-6
-0.268, 5.848e-6, 3.544e-6, -2.304e-6, 6.707e-6, 3.966e-6, -2.741e-6
-0.272, 5.876e-6, 3.575e-6, -2.301e-6, 6.722e-6, 3.990e-6, -2.732e-6
-0.276, 5.906e-6, 3.605e-6, -2.301e-6, 6.738e-6, 4.010e-6, -2.727e-6
-0.280, 5.940e-6, 3.645e-6, -2.295e-6, 6.772e-6, 4.046e-6, -2.726e-6
-0.284, 5.950e-6, 3.667e-6, -2.283e-6, 6.783e-6, 4.069e-6, -2.714e-6
-0.288, 5.968e-6, 3.697e-6, -2.271e-6, 6.797e-6, 4.096e-6, -2.701e-6
-0.292, 5.993e-6, 3.729e-6, -2.264e-6, 6.815e-6, 4.122e-6, -2.693e-6
-0.296, 6.019e-6, 3.767e-6, -2.251e-6, 6.845e-6, 4.159e-6, -2.686e-6
-0.300, 6.019e-6, 3.790e-6, -2.229e-6, 6.855e-6, 4.184e-6, -2.671e-6
-0.304, 6.033e-6, 3.823e-6, -2.211e-6, 6.871e-6, 4.216e-6, -2.654e-6
-0.308, 6.053e-6, 3.857e-6, -2.196e-6, 6.888e-6, 4.245e-6, -2.643e-6
-0.312, 6.071e-6, 3.897e-6, -2.174e-6, 6.917e-6, 4.286e-6, -2.630e-6
