Sept. 28, 2023   14:54:05
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\60_10_1.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 3.426e-6, 7.391e-7, -2.687e-6, 4.086e-6, 8.420e-7, -3.244e-6
-0.008, 4.416e-6, 1.983e-6, -2.433e-6, 5.383e-6, 2.432e-6, -2.951e-6
-0.012, 4.320e-6, 2.012e-6, -2.308e-6, 5.272e-6, 2.463e-6, -2.809e-6
-0.016, 4.198e-6, 1.990e-6, -2.208e-6, 5.131e-6, 2.437e-6, -2.694e-6
-0.020, 4.082e-6, 1.962e-6, -2.120e-6, 4.995e-6, 2.402e-6, -2.592e-6
-0.024, 3.966e-6, 1.927e-6, -2.039e-6, 4.861e-6, 2.362e-6, -2.498e-6
-0.028, 3.861e-6, 1.896e-6, -1.964e-6, 4.738e-6, 2.326e-6, -2.412e-6
-0.032, 3.761e-6, 1.864e-6, -1.897e-6, 4.622e-6, 2.288e-6, -2.334e-6
-0.036, 3.667e-6, 1.834e-6, -1.833e-6, 4.511e-6, 2.252e-6, -2.259e-6
-0.040, 3.577e-6, 1.802e-6, -1.774e-6, 4.405e-6, 2.215e-6, -2.190e-6
-0.044, 3.496e-6, 1.777e-6, -1.719e-6, 4.311e-6, 2.185e-6, -2.126e-6
-0.048, 3.417e-6, 1.751e-6, -1.666e-6, 4.217e-6, 2.153e-6, -2.064e-6
-0.052, 3.348e-6, 1.728e-6, -1.619e-6, 4.136e-6, 2.127e-6, -2.009e-6
-0.056, 3.280e-6, 1.704e-6, -1.575e-6, 4.055e-6, 2.099e-6, -1.956e-6
-0.060, 3.219e-6, 1.685e-6, -1.534e-6, 3.983e-6, 2.074e-6, -1.908e-6
-0.064, 3.160e-6, 1.664e-6, -1.496e-6, 3.913e-6, 2.050e-6, -1.863e-6
-0.068, 3.107e-6, 1.647e-6, -1.460e-6, 3.849e-6, 2.029e-6, -1.820e-6
-0.072, 3.057e-6, 1.630e-6, -1.427e-6, 3.789e-6, 2.008e-6, -1.781e-6
-0.076, 3.011e-6, 1.615e-6, -1.397e-6, 3.733e-6, 1.989e-6, -1.744e-6
-0.080, 2.970e-6, 1.602e-6, -1.368e-6, 3.681e-6, 1.972e-6, -1.709e-6
-0.084, 2.932e-6, 1.590e-6, -1.342e-6, 3.636e-6, 1.958e-6, -1.677e-6
-0.088, 2.894e-6, 1.579e-6, -1.315e-6, 3.589e-6, 1.943e-6, -1.646e-6
-0.092, 2.864e-6, 1.570e-6, -1.293e-6, 3.549e-6, 1.931e-6, -1.618e-6
-0.096, 2.831e-6, 1.561e-6, -1.271e-6, 3.510e-6, 1.919e-6, -1.591e-6
-0.100, 2.805e-6, 1.553e-6, -1.252e-6, 3.475e-6, 1.908e-6, -1.567e-6
-0.104, 2.781e-6, 1.547e-6, -1.234e-6, 3.443e-6, 1.898e-6, -1.545e-6
-0.108, 2.760e-6, 1.544e-6, -1.216e-6, 3.414e-6, 1.892e-6, -1.523e-6
-0.112, 2.739e-6, 1.538e-6, -1.201e-6, 3.386e-6, 1.883e-6, -1.503e-6
-0.116, 2.724e-6, 1.537e-6, -1.187e-6, 3.364e-6, 1.878e-6, -1.485e-6
-0.120, 2.709e-6, 1.535e-6, -1.174e-6, 3.341e-6, 1.874e-6, -1.468e-6
-0.124, 2.694e-6, 1.532e-6, -1.162e-6, 3.320e-6, 1.868e-6, -1.452e-6
-0.128, 2.684e-6, 1.534e-6, -1.151e-6, 3.302e-6, 1.865e-6, -1.437e-6
-0.132, 2.677e-6, 1.536e-6, -1.142e-6, 3.288e-6, 1.864e-6, -1.424e-6
-0.136, 2.671e-6, 1.538e-6, -1.133e-6, 3.276e-6, 1.864e-6, -1.412e-6
-0.140, 2.667e-6, 1.541e-6, -1.126e-6, 3.263e-6, 1.863e-6, -1.400e-6
-0.144, 2.664e-6, 1.546e-6, -1.118e-6, 3.252e-6, 1.864e-6, -1.388e-6
-0.148, 2.664e-6, 1.552e-6, -1.112e-6, 3.245e-6, 1.866e-6, -1.379e-6
-0.152, 2.664e-6, 1.557e-6, -1.107e-6, 3.239e-6, 1.868e-6, -1.371e-6
-0.156, 2.668e-6, 1.566e-6, -1.103e-6, 3.236e-6, 1.873e-6, -1.363e-6
-0.160, 2.674e-6, 1.575e-6, -1.100e-6, 3.234e-6, 1.877e-6, -1.356e-6
-0.164, 2.679e-6, 1.582e-6, -1.096e-6, 3.230e-6, 1.881e-6, -1.349e-6
-0.168, 2.688e-6, 1.595e-6, -1.093e-6, 3.230e-6, 1.889e-6, -1.341e-6
-0.172, 2.697e-6, 1.606e-6, -1.091e-6, 3.231e-6, 1.895e-6, -1.336e-6
-0.176, 2.711e-6, 1.619e-6, -1.092e-6, 3.235e-6, 1.902e-6, -1.333e-6
-0.180, 2.722e-6, 1.632e-6, -1.090e-6, 3.238e-6, 1.910e-6, -1.328e-6
-0.184, 2.736e-6, 1.647e-6, -1.089e-6, 3.241e-6, 1.919e-6, -1.322e-6
-0.188, 2.752e-6, 1.663e-6, -1.089e-6, 3.249e-6, 1.930e-6, -1.319e-6
-0.192, 2.770e-6, 1.679e-6, -1.091e-6, 3.257e-6, 1.940e-6, -1.317e-6
-0.196, 2.789e-6, 1.698e-6, -1.091e-6, 3.265e-6, 1.952e-6, -1.313e-6
-0.200, 2.809e-6, 1.715e-6, -1.094e-6, 3.274e-6, 1.962e-6, -1.312e-6
-0.204, 2.830e-6, 1.735e-6, -1.095e-6, 3.285e-6, 1.976e-6, -1.309e-6
