Sept. 28, 2023   14:54:22
Square Wave Voltammetry
File: c:\users\biose\documents\heatherl\epbp\09282023\frequencyscan\60_10_3.txt
Data Source:  Experiment
Instrument Model:  CHI1040C
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.7
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

E2 Scan On
Sens 2 = 1e-005

Results:

Channel 1:
Difference:

Forward:

Reverse:

Channel 2:
Difference:

Forward:

Reverse:

Potential/V, i1d/A, i1f/A, i1r/A, i2d/A, i2f/A, i2r/A

-0.004, 4.052e-6, 8.672e-7, -3.185e-6, 4.792e-6, 9.744e-7, -3.818e-6
-0.008, 5.244e-6, 2.357e-6, -2.887e-6, 6.340e-6, 2.863e-6, -3.477e-6
-0.012, 5.141e-6, 2.395e-6, -2.747e-6, 6.221e-6, 2.903e-6, -3.317e-6
-0.016, 5.004e-6, 2.373e-6, -2.632e-6, 6.062e-6, 2.877e-6, -3.186e-6
-0.020, 4.875e-6, 2.340e-6, -2.535e-6, 5.912e-6, 2.837e-6, -3.075e-6
-0.024, 4.748e-6, 2.306e-6, -2.442e-6, 5.765e-6, 2.797e-6, -2.968e-6
-0.028, 4.630e-6, 2.271e-6, -2.359e-6, 5.630e-6, 2.757e-6, -2.873e-6
-0.032, 4.519e-6, 2.236e-6, -2.282e-6, 5.501e-6, 2.717e-6, -2.784e-6
-0.036, 4.414e-6, 2.203e-6, -2.210e-6, 5.380e-6, 2.678e-6, -2.702e-6
-0.040, 4.312e-6, 2.170e-6, -2.143e-6, 5.261e-6, 2.639e-6, -2.623e-6
-0.044, 4.219e-6, 2.139e-6, -2.080e-6, 5.153e-6, 2.603e-6, -2.550e-6
-0.048, 4.131e-6, 2.112e-6, -2.020e-6, 5.051e-6, 2.571e-6, -2.480e-6
-0.052, 4.049e-6, 2.083e-6, -1.966e-6, 4.955e-6, 2.537e-6, -2.418e-6
-0.056, 3.973e-6, 2.057e-6, -1.916e-6, 4.866e-6, 2.507e-6, -2.359e-6
-0.060, 3.902e-6, 2.034e-6, -1.868e-6, 4.782e-6, 2.480e-6, -2.303e-6
-0.064, 3.836e-6, 2.012e-6, -1.824e-6, 4.703e-6, 2.452e-6, -2.251e-6
-0.068, 3.772e-6, 1.991e-6, -1.781e-6, 4.629e-6, 2.428e-6, -2.201e-6
-0.072, 3.714e-6, 1.971e-6, -1.742e-6, 4.559e-6, 2.403e-6, -2.155e-6
-0.076, 3.658e-6, 1.953e-6, -1.705e-6, 4.492e-6, 2.381e-6, -2.111e-6
-0.080, 3.607e-6, 1.936e-6, -1.671e-6, 4.432e-6, 2.361e-6, -2.071e-6
-0.084, 3.561e-6, 1.921e-6, -1.639e-6, 4.375e-6, 2.342e-6, -2.033e-6
-0.088, 3.514e-6, 1.905e-6, -1.609e-6, 4.320e-6, 2.323e-6, -1.997e-6
-0.092, 3.472e-6, 1.893e-6, -1.580e-6, 4.269e-6, 2.307e-6, -1.962e-6
-0.096, 3.435e-6, 1.881e-6, -1.554e-6, 4.222e-6, 2.292e-6, -1.930e-6
-0.100, 3.400e-6, 1.871e-6, -1.529e-6, 4.178e-6, 2.277e-6, -1.901e-6
-0.104, 3.366e-6, 1.860e-6, -1.506e-6, 4.135e-6, 2.263e-6, -1.872e-6
-0.108, 3.335e-6, 1.851e-6, -1.484e-6, 4.095e-6, 2.250e-6, -1.845e-6
-0.112, 3.307e-6, 1.844e-6, -1.463e-6, 4.059e-6, 2.239e-6, -1.819e-6
-0.116, 3.282e-6, 1.838e-6, -1.444e-6, 4.024e-6, 2.229e-6, -1.795e-6
-0.120, 3.256e-6, 1.830e-6, -1.426e-6, 3.990e-6, 2.218e-6, -1.771e-6
-0.124, 3.236e-6, 1.826e-6, -1.409e-6, 3.960e-6, 2.210e-6, -1.751e-6
-0.128, 3.216e-6, 1.823e-6, -1.393e-6, 3.933e-6, 2.203e-6, -1.730e-6
-0.132, 3.198e-6, 1.819e-6, -1.379e-6, 3.906e-6, 2.194e-6, -1.711e-6
-0.136, 3.183e-6, 1.817e-6, -1.366e-6, 3.881e-6, 2.188e-6, -1.693e-6
-0.140, 3.169e-6, 1.817e-6, -1.353e-6, 3.858e-6, 2.182e-6, -1.676e-6
-0.144, 3.157e-6, 1.815e-6, -1.342e-6, 3.839e-6, 2.178e-6, -1.661e-6
-0.148, 3.147e-6, 1.816e-6, -1.332e-6, 3.820e-6, 2.174e-6, -1.646e-6
-0.152, 3.138e-6, 1.818e-6, -1.319e-6, 3.801e-6, 2.172e-6, -1.629e-6
-0.156, 3.131e-6, 1.820e-6, -1.311e-6, 3.786e-6, 2.169e-6, -1.617e-6
-0.160, 3.125e-6, 1.822e-6, -1.302e-6, 3.769e-6, 2.166e-6, -1.603e-6
-0.164, 3.122e-6, 1.826e-6, -1.296e-6, 3.757e-6, 2.165e-6, -1.592e-6
-0.168, 3.119e-6, 1.831e-6, -1.288e-6, 3.745e-6, 2.164e-6, -1.580e-6
-0.172, 3.117e-6, 1.836e-6, -1.281e-6, 3.733e-6, 2.165e-6, -1.569e-6
-0.176, 3.119e-6, 1.844e-6, -1.275e-6, 3.724e-6, 2.167e-6, -1.557e-6
-0.180, 3.121e-6, 1.852e-6, -1.269e-6, 3.715e-6, 2.168e-6, -1.547e-6
-0.184, 3.123e-6, 1.859e-6, -1.264e-6, 3.707e-6, 2.169e-6, -1.537e-6
-0.188, 3.128e-6, 1.868e-6, -1.260e-6, 3.701e-6, 2.172e-6, -1.529e-6
-0.192, 3.135e-6, 1.879e-6, -1.255e-6, 3.696e-6, 2.176e-6, -1.520e-6
-0.196, 3.140e-6, 1.890e-6, -1.251e-6, 3.690e-6, 2.180e-6, -1.510e-6
-0.200, 3.149e-6, 1.901e-6, -1.248e-6, 3.687e-6, 2.184e-6, -1.503e-6
-0.204, 3.160e-6, 1.915e-6, -1.245e-6, 3.686e-6, 2.191e-6, -1.495e-6
-0.208, 3.169e-6, 1.927e-6, -1.242e-6, 3.682e-6, 2.195e-6, -1.487e-6
